ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-31T03:13:40.726,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77630.2,,,,,,77620.2,77630.2,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T03:14:00.903,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77647.97,,,,,,77637.97,77647.97,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T03:14:21.056,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77662.19,,,,,,77652.19,77662.19,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T03:14:41.238,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77653.02,,,,,,77643.02,77653.02,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:03:15.068,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77612.54,,,,,,77612.54,77622.54,10.0,,,,0.3,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:03:35.332,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77629.49,,,,,,77629.49,77639.49,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:03:55.672,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77599.21,,,,,,77599.21,77609.21,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:04:15.840,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77596.89,,,,,,77596.89,77606.89,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:04:36.038,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77578.36,,,,,,77578.36,77588.36,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:04:56.284,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77591.22,,,,,,77591.22,77601.22,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:05:16.494,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77564.74,,,,,,77564.74,77574.74,10.0,,,,4.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:05:36.679,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77580.2,,,,,,77580.2,77590.2,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:05:56.971,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77575.67,,,,,,77575.67,77585.67,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:06:17.165,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77601.74,,,,,,77601.74,77611.74,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:06:37.357,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77630.0,,,,,,77630.0,77640.0,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:06:57.511,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77652.78,,,,,,77652.78,77662.78,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:07:17.683,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77691.67,,,,,,77691.67,77701.67,10.0,,,,0.3,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:07:37.980,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77668.98,,,,,,77668.98,77678.98,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:07:58.276,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77664.57,,,,,,77664.57,77674.57,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:56:19.267,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77632.1,,,,,,77622.1,77632.1,10.0,,,,0.3,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:56:39.499,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77625.38,,,,,,77615.38,77625.38,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:56:59.720,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77604.55,,,,,,77594.55,77604.55,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:57:19.911,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77593.73,,,,,,77583.73,77593.73,10.0,,,,0.5,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:57:40.091,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77622.6,,,,,,77612.6,77622.6,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:58:00.311,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77622.12,,,,,,77612.12,77622.12,10.0,,,,0.3,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:58:20.492,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77632.1,,,,,,77622.1,77632.1,10.0,,,,0.9,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:58:40.678,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77638.29,,,,,,77628.29,77638.29,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:59:00.923,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77648.94,,,,,,77638.94,77648.94,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:59:21.088,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77640.14,,,,,,77630.14,77640.14,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T04:59:41.316,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77609.81,,,,,,77599.81,77609.81,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:00:01.512,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77612.69,,,,,,77602.69,77612.69,10.0,,,,0.3,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:00:21.792,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77584.86,,,,,,77574.86,77584.86,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:00:41.973,order_open,770405,BUY,new cycle,,False,,,,,,,,,,,,,,,,,,,,77604.98,,,,,,77594.98,77604.98,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:37:06.419,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77911.85,,,,,,77911.85,77921.85,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:37:26.594,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77933.02,,,,,,77933.02,77943.02,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:37:46.801,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77890.47,,,,,,77890.47,77900.47,10.0,,,,0.2,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2026-08-31T05:38:07.061,order_open,770405,SELL,new cycle,,False,,,,,,,,,,,,,,,,,,,,77872.82,,,,,,77872.82,77882.82,10.0,,,,0.1,10019,No money,0,0,0,0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
