signal_time_utc,side,verdict,h1_close,h1_ema75,m15_close,m15_ema75
2026-08-17T22:34:00,SELL,blocked,64234.07,63411.1,64234.07,63856.48
2026-08-17T23:25:00,BUY,not_filtered_buy,,,,
2026-08-17T23:26:00,BUY,not_filtered_buy,,,,
2026-08-17T23:27:00,BUY,not_filtered_buy,,,,
2026-08-17T23:28:00,BUY,not_filtered_buy,,,,
2026-08-18T00:46:00,SELL,blocked,64470.9,63438.9,64345.17,63947.41
2026-08-18T04:34:00,BUY,not_filtered_buy,,,,
2026-08-18T04:35:00,BUY,not_filtered_buy,,,,
2026-08-18T05:09:00,BUY,not_filtered_buy,,,,
2026-08-18T06:55:00,SELL,blocked,64258.6,63562.3,64258.6,64054.89
2026-08-18T07:03:00,SELL,blocked,64258.6,63562.3,64258.6,64054.89
2026-08-18T07:30:00,SELL,blocked,64258.6,63562.3,64215.99,64064.99
2026-08-18T07:33:00,SELL,blocked,64258.6,63562.3,64215.99,64064.99
2026-08-18T07:34:00,SELL,blocked,64258.6,63562.3,64180.08,64068.07
2026-08-18T08:35:00,BUY,not_filtered_buy,,,,
2026-08-18T08:36:00,BUY,not_filtered_buy,,,,
2026-08-18T09:24:00,SELL,blocked,64223.01,63593.82,64179.24,64082.63
2026-08-18T09:26:00,SELL,blocked,64223.01,63593.82,64094.07,64082.87
2026-08-18T09:30:00,SELL,blocked,64223.01,63593.82,64094.07,64082.87
2026-08-18T11:03:00,BUY,not_filtered_buy,,,,
2026-08-18T11:13:00,BUY,not_filtered_buy,,,,
2026-08-18T11:14:00,BUY,not_filtered_buy,,,,
2026-08-18T11:15:00,BUY,not_filtered_buy,,,,
2026-08-18T13:00:00,SELL,blocked,64159.56,63650.45,64159.56,64114.61
2026-08-18T13:39:00,BUY,not_filtered_buy,,,,
2026-08-18T13:50:00,BUY,not_filtered_buy,,,,
2026-08-18T14:02:00,BUY,not_filtered_buy,,,,
2026-08-18T14:33:00,SELL,blocked,64155.04,63663.16,64934.17,64136.38
2026-08-18T15:34:00,BUY,not_filtered_buy,,,,
2026-08-18T16:17:00,SELL,blocked,64805.69,63718.08,64698.27,64236.94
2026-08-18T16:27:00,SELL,blocked,64805.69,63718.08,64698.27,64236.94
2026-08-18T16:46:00,BUY,not_filtered_buy,,,,
2026-08-18T16:56:00,BUY,not_filtered_buy,,,,
2026-08-18T16:57:00,BUY,not_filtered_buy,,,,
2026-08-18T17:58:00,SELL,blocked,64626.38,63768.52,64626.38,64318.53
2026-08-18T17:59:00,SELL,blocked,64626.38,63768.52,64697.65,64328.28
2026-08-18T23:23:00,BUY,not_filtered_buy,,,,
2026-08-18T23:24:00,BUY,not_filtered_buy,,,,
2026-08-18T23:34:00,BUY,not_filtered_buy,,,,
2026-08-18T23:39:00,BUY,not_filtered_buy,,,,
2026-08-18T23:43:00,BUY,not_filtered_buy,,,,
2026-08-19T00:05:00,SELL,blocked,64678.85,63892.67,64678.85,64460.13
2026-08-19T00:12:00,SELL,blocked,64678.85,63892.67,64678.85,64460.13
2026-08-19T00:14:00,SELL,blocked,64678.85,63892.67,64536.0,64462.16
2026-08-19T00:15:00,SELL,blocked,64678.85,63892.67,64562.75,64464.78
2026-08-19T06:48:00,BUY,not_filtered_buy,,,,
2026-08-19T06:56:00,BUY,not_filtered_buy,,,,
2026-08-19T06:59:00,BUY,not_filtered_buy,,,,
2026-08-19T07:11:00,BUY,not_filtered_buy,,,,
2026-08-19T07:14:00,BUY,not_filtered_buy,,,,
2026-08-19T07:34:00,BUY,not_filtered_buy,,,,
2026-08-19T13:00:00,SELL,blocked,64828.07,64033.25,64828.07,64398.51
2026-08-19T13:02:00,SELL,blocked,64828.07,64033.25,64828.07,64398.51
2026-08-19T13:11:00,BUY,not_filtered_buy,,,,
2026-08-19T13:12:00,BUY,not_filtered_buy,,,,
2026-08-19T13:36:00,SELL,blocked,64828.07,64033.25,64951.47,64425.39
2026-08-19T13:43:00,BUY,not_filtered_buy,,,,
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:17:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:22:00,BUY,not_filtered_buy,,,,
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,66615.44,64615.61
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
2026-08-19T15:28:00,SELL,blocked,65871.35,64105.61,68264.21,64711.92
