ts_utc,kind,magic,side,why,reason,ok,signal_time_utc,decision_time_utc,signal_age_seconds,reversal_direction,reversal_brick_price,reversal_brick_index,m1_closed_bar_time_utc,bid_at_decision,ask_at_decision,spread_at_decision,quote_at_decision,chase_price_signed,chase_points_signed,atr_m1_14_at_decision,atr_over_brick_at_decision,ema20_at_decision,ema50_at_decision,shadow_chase_50_pass,shadow_chase_100_pass,requested_price,fill_price,fill_distance_from_brick,adverse_slippage_price,adverse_slippage_points,slippage_usd,bid,ask,spread,bid_after_fill,ask_after_fill,spread_after_fill,latency_ms,retcode,broker_comment,deal,order,request_id,basket_before,positions,recovery,cycle_direction,protection_state,daily_total,trail_armed,peak,floor,trigger_total,final_total,execution_gap,day,bot_value,activate,giveback,daily_loss_limit,balance,equity,margin,margin_free,margin_level
2026-08-11T16:06:05.617,signal_seen,770407,,,,,2026-08-11T16:05:00,2026-08-11T16:06:05.401,65.402,BUY,63521.23,2538,2026-08-11T16:05:00,63573.51,63583.51,10.0,63583.51,62.28,6228.0,43.7857,0.8757,63525.855,63585.6713,False,True,,,,,,,,,,,,,,,,,,,,1,True,BUY,ACTIVE,-6.21,False,,,,,,,,,,,,,,,
2026-08-11T16:06:06.350,order_open,770407,BUY,recovery add #2,,True,2026-08-11T16:05:00,2026-08-11T16:06:05.635,65.636,BUY,63521.23,2538,2026-08-11T16:05:00,63573.51,63583.51,10.0,63583.51,62.28,6228.0,43.7857,0.8757,63525.855,63585.6713,False,True,63583.51,63579.69,58.46,-3.82,-382.0,0.0382,63573.51,63583.51,10.0,63569.69,63579.69,10.0,506.3,10009,ok,533921147,1037854022,3402256319,1,,,,,,,,,,,,,,,,,114.35,108.0,3.19,104.81,3385.6
2026-08-11T16:46:02.278,signal_seen,770407,,,,,2026-08-11T16:45:00,2026-08-11T16:46:02.069,62.069,SELL,63471.23,2540,2026-08-11T16:45:00,63421.88,63431.88,10.0,63421.88,49.35,4935.0,32.0907,0.6418,63481.3188,63520.573,True,True,,,,,,,,,,,,,,,,,,,,2,True,BUY,ACTIVE,-9.31,False,,,,,,,,,,,,,,,
2026-08-11T16:46:02.285,signal_skipped,770407,,,opposite_to_cycle,,2026-08-11T16:45:00,2026-08-11T16:46:02.069,62.069,SELL,63471.23,2540,2026-08-11T16:45:00,63421.88,63431.88,10.0,63421.88,49.35,4935.0,32.0907,0.6418,63481.3188,63520.573,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-11T19:43:05.285,signal_seen,770407,,,,,2026-08-11T19:42:00,2026-08-11T19:43:05.099,65.099,BUY,63321.23,2546,2026-08-11T19:42:00,63385.91,63395.91,10.0,63395.91,74.68,7468.0,31.4157,0.6283,63316.6581,63305.4506,False,True,,,,,,,,,,,,,,,,,,,,2,True,BUY,ACTIVE,-10.03,False,,,,,,,,,,,,,,,
2026-08-11T19:43:06.067,order_open,770407,BUY,recovery add #3,,True,2026-08-11T19:42:00,2026-08-11T19:43:05.294,65.295,BUY,63321.23,2546,2026-08-11T19:42:00,63385.91,63395.91,10.0,63395.91,74.68,7468.0,31.4157,0.6283,63316.6581,63305.4506,False,True,63395.91,63396.82,75.59,0.91,91.0,-0.0091,63385.91,63395.91,10.0,63386.82,63396.82,10.0,582.6,10009,ok,534007013,1037938176,3402256320,2,,,,,,,,,,,,,,,,,114.35,104.23,4.78,99.45,2180.5
2026-08-11T23:06:07.171,signal_seen,770407,,,,,2026-08-11T23:05:00,2026-08-11T23:06:06.986,66.987,SELL,63571.23,2554,2026-08-11T23:05:00,63514.75,63524.75,10.0,63514.75,56.48,5648.0,17.1014,0.342,63571.0718,63597.982,False,True,,,,,,,,,,,,,,,,,,,,2,True,BUY,ACTIVE,-4.96,False,,,,,,,,,,,,,,,
2026-08-11T23:06:07.175,signal_skipped,770407,,,opposite_to_cycle,,2026-08-11T23:05:00,2026-08-11T23:06:06.986,66.987,SELL,63571.23,2554,2026-08-11T23:05:00,63514.75,63524.75,10.0,63514.75,56.48,5648.0,17.1014,0.342,63571.0718,63597.982,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-12T00:00:08.056,protection_day_start,770407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-08-12,-19.39,7.0,4.0,20.0,,,,,
2026-08-12T00:46:16.051,signal_seen,770407,,,,,2026-08-12T00:45:00,2026-08-12T00:46:15.815,75.816,BUY,63621.23,2556,2026-08-12T00:45:00,63662.96,63672.96,10.0,63672.96,51.73,5173.0,18.635,0.3727,63636.4341,63600.3865,False,True,,,,,,,,,,,,,,,,,,,,2,True,BUY,ACTIVE,2.8,False,,,,,,,,,,,,,,,
