position_id,instrumentation,opened,closed,duration_s,duration_min,side,volume,entry,exit,pnl,won,move_pts,move_pct,move_in_atr15,velocity_pts_min,mfe_pts,mae_pts,exit_reason,hour,weekday,spread_at_entry,M5_close,M5_atr,M5_vs_ema21,M5_ema_cross,M5_structure,M5_slope5,M5_donchian,M5_pct_of_range,M15_close,M15_atr,M15_vs_ema21,M15_ema_cross,M15_structure,M15_slope5,M15_donchian,M15_pct_of_range,H1_close,H1_atr,H1_vs_ema21,H1_ema_cross,H1_structure,H1_slope5,H1_donchian,H1_pct_of_range,H4_close,H4_atr,H4_vs_ema21,H4_ema_cross,H4_structure,H4_slope5,H4_donchian,H4_pct_of_range,M5_aligned,M15_aligned,H1_aligned,H4_aligned,entry_candle_dir,entry_candle_range,entry_body_pct,entry_upper_wick_pct,entry_lower_wick_pct,entry_tick_volume,entry_spread_pts
3061903536,False,2026-08-09T22:25:04,2026-08-09T22:33:08,484,8.1,SELL,0.01,65160.76,65064.34,0.97,True,96.4,0.148,1.15,12.0,169.8,41.3,KL-d4-close,22,Sunday,10.0,65160.45,72.2,below,bull,LH_LL,18.9,inside,25.7,65363.04,69.2,above,bull,HH_HL,272.4,breakout_up,178.0,65141.59,109.0,above,bull,HH_HL,-39.6,inside,81.0,65132.67,257.5,above,bull,mixed,224.0,inside,83.0,True,False,False,False,up,37.8,95.3,4.7,0.0,61.0,1000.0
3061903568,False,2026-08-09T22:25:04,2026-08-09T22:33:09,485,8.1,SELL,0.01,65160.76,65067.9,0.93,True,92.9,0.1425,1.11,11.5,169.8,41.3,KL-recov-close,22,Sunday,10.0,65160.45,72.2,below,bull,LH_LL,18.9,inside,25.7,65363.04,69.2,above,bull,HH_HL,272.4,breakout_up,178.0,65141.59,109.0,above,bull,HH_HL,-39.6,inside,81.0,65132.67,257.5,above,bull,mixed,224.0,inside,83.0,True,False,False,False,up,37.8,95.3,4.7,0.0,61.0,1000.0
3062165438,False,2026-08-10T00:10:13,2026-08-10T00:11:05,52,0.9,BUY,0.01,64995.87,65244.96,2.49,True,249.1,0.3832,1.58,287.4,272.7,-133.3,[tp 65244.96000],0,Monday,10.0,64978.1,81.9,above,bear,HH_HL,133.2,inside,46.6,64844.33,127.2,below,bear,LH_LL,-138.3,inside,8.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,False,False,True,up,175.4,98.1,0.0,1.9,151.0,1000.0
3062165451,False,2026-08-10T00:10:14,2026-08-10T00:11:05,51,0.8,BUY,0.01,64994.94,65245.87,2.51,True,250.9,0.3861,1.59,295.2,273.6,-134.2,[tp 65245.87000],0,Monday,10.0,64978.1,81.9,above,bear,HH_HL,133.2,inside,46.6,64844.33,127.2,below,bear,LH_LL,-138.3,inside,8.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,False,False,True,up,175.4,98.1,0.0,1.9,151.0,1000.0
3062165478,False,2026-08-10T00:10:15,2026-08-10T00:11:05,50,0.8,BUY,0.01,64994.94,65244.94,2.5,True,250.0,0.3846,1.58,300.0,273.6,-134.2,[tp 65244.94000],0,Monday,10.0,64978.1,81.9,above,bear,HH_HL,133.2,inside,46.6,64844.33,127.2,below,bear,LH_LL,-138.3,inside,8.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,False,False,True,up,175.4,98.1,0.0,1.9,151.0,1000.0
3062165577,False,2026-08-10T00:10:15,2026-08-10T00:11:05,50,0.8,BUY,0.01,64994.93,65244.94,2.5,True,250.0,0.3847,1.58,300.0,273.6,-134.2,[tp 65244.94000],0,Monday,10.0,64978.1,81.9,above,bear,HH_HL,133.2,inside,46.6,64844.33,127.2,below,bear,LH_LL,-138.3,inside,8.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,True,False,False,True,up,175.4,98.1,0.0,1.9,151.0,1000.0
3062204179,False,2026-08-10T00:21:17,2026-08-10T01:49:26,5289,88.2,SELL,0.01,64975.99,65130.05,-1.54,False,-154.1,-0.2371,-0.91,-1.7,208.7,228.6,[sl 65130.05000],0,Monday,10.0,65043.41,94.2,above,bear,mixed,215.6,inside,53.6,65097.43,158.0,above,bear,HH_HL,78.3,inside,48.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,False,down,39.2,85.9,0.0,14.1,91.0,1000.0
3062204219,False,2026-08-10T00:21:18,2026-08-10T02:17:34,6976,116.3,SELL,0.01,64982.48,64973.16,0.09,True,9.3,0.0143,0.06,0.1,215.1,366.2,KL-recov-close,0,Monday,10.0,65043.41,94.2,above,bear,mixed,215.6,inside,53.6,65097.43,158.0,above,bear,HH_HL,78.3,inside,48.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,False,down,39.2,85.9,0.0,14.1,91.0,1000.0
3062204277,False,2026-08-10T00:21:19,2026-08-10T02:17:35,6976,116.3,SELL,0.01,64980.3,64972.6,0.07,True,7.7,0.0118,0.05,0.1,213.0,368.4,KL-d4-close,0,Monday,10.0,65043.41,94.2,above,bear,mixed,215.6,inside,53.6,65097.43,158.0,above,bear,HH_HL,78.3,inside,48.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,False,down,39.2,85.9,0.0,14.1,91.0,1000.0
3062204293,False,2026-08-10T00:21:20,2026-08-10T02:17:32,6972,116.2,SELL,0.01,64981.21,64973.14,0.08,True,8.1,0.0124,0.05,0.1,213.9,367.5,KL-recov-close,0,Monday,10.0,65043.41,94.2,above,bear,mixed,215.6,inside,53.6,65097.43,158.0,above,bear,HH_HL,78.3,inside,48.0,64844.33,149.4,below,bull,LH_LL,-305.7,inside,22.7,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,True,False,down,39.2,85.9,0.0,14.1,91.0,1000.0
3062519385,False,2026-08-10T02:16:11,2026-08-10T02:44:05,1674,27.9,SELL,0.01,64999.130000000005,65153.97,-1.55,False,-154.8,-0.2382,-0.79,-5.5,155.1,162.8,[sl 65149.13000],2,Monday,10.0,65056.64,96.7,above,bull,mixed,-128.0,inside,49.8,65056.64,190.9,above,bear,mixed,131.1,inside,43.1,65142.78,209.1,above,bull,HH_HL,52.1,inside,59.2,64844.33,260.1,above,bull,mixed,107.2,inside,60.1,False,False,False,False,down,18.6,60.4,0.0,39.6,73.0,1000.0
