symbol,tf,state,k,nA,meanA_bp,tA,eocA,nB,meanB_bp,tB,eocB,same_sign,cost_bp
DE30m,H1,bigmove_up,4,369,-10.212091375440819,-1.194349840583303,3.3835297628913796,369,1.6410303373092807,0.589644427510825,0.5437157565439382,False,3.018176901365314
DE30m,H1,bigmove_down,1,457,4.050078877922136,0.9491765795555783,1.3418957901672453,497,-1.2339247805321132,-0.9324637626941223,0.4088311655867257,False,3.018176901365314
DE30m,H1,bigmove_down,4,457,-0.7777766240633414,-0.10439861039449716,0.257697494044005,497,0.0114115190298097,0.004627479616451892,0.003780931139141494,False,3.018176901365314
DE30m,H1,hivol,1,4204,0.9259650249623504,1.0360494246260814,0.3067961405918511,4024,0.18000906245305673,0.37955117267433913,0.05964165399702952,True,3.018176901365314
DE30m,H1,hivol,4,4204,4.4786196512527745,2.696738817482926,1.4838824222751188,4021,0.9619372193495542,0.994932525812225,0.318714658148238,True,3.018176901365314
DE30m,H1,lovol,1,4686,0.37418105287180875,1.1803356804811733,0.12397585201269774,4069,0.2491532347455649,1.0046976839711068,0.08255090502907798,True,3.018176901365314
DE30m,H1,lovol,4,4686,0.9717606128442283,1.592319254210644,0.32196940225890636,4069,1.0727338345465314,2.118214484222186,0.3554244398534975,True,3.018176901365314
DE30m,H1,session_open,1,1466,0.41756849820173114,0.13735964997738245,0.13835123382358347,560,1.1142751764891465,1.6570280488164337,0.36918815990709125,True,3.018176901365314
DE30m,H1,session_open,4,1466,2.776340666286648,0.46618341597932983,0.9198734060388349,560,0.7177409296831782,0.5765691941318759,0.23780611711609687,True,3.018176901365314
DE30m,H1,all_bars,1,14897,0.16105506461878336,0.4539154733666637,0.05336170472510338,14896,0.28800343631743147,1.6165525289132805,0.09542298073620177,True,3.018176901365314
DE30m,H1,all_bars,4,14897,0.6143789517980282,0.8776653526894134,0.20355962287038423,14893,1.1499514136713467,3.186550847050552,0.38100861919364315,True,3.018176901365314
BTCUSDm,M15,bigmove_up,1,703,2.8621405714833634,2.0890618253549724,1.4342875595926796,694,0.14537030790336364,0.1008993406767154,0.07284856175037237,True,1.9955137673341994
BTCUSDm,M15,bigmove_up,4,703,3.0350534002069978,1.2203266691059893,1.5209383417391884,694,0.7090149643593505,0.25834105982641226,0.3553044714427209,True,1.9955137673341994
BTCUSDm,M15,bigmove_down,1,680,-1.0261242136189437,-0.6509156523811188,0.5142155521130479,743,-0.16241395178594112,-0.10041837439504374,0.08138954210419175,True,1.9955137673341994
BTCUSDm,M15,bigmove_down,4,680,0.8324169281149827,0.3189117042449604,0.4171441669515545,743,-1.2538614751504416,-0.446543354454379,0.6283401776904156,False,1.9955137673341994
BTCUSDm,M15,hivol,1,6419,0.2259911365828327,0.6718643331902643,0.11324960031958764,6611,-0.23177787259470448,-0.6055263418820539,0.11614947307747008,False,1.9955137673341994
BTCUSDm,M15,hivol,4,6419,0.14528824299772466,0.22763548421927957,0.07280743705006595,6611,-0.5931267235440264,-0.8230296006396979,0.2972300834267771,False,1.9955137673341994
BTCUSDm,M15,lovol,1,6514,-0.10456906655563597,-0.5894346298190178,0.052402077233137535,6840,0.06722285399411777,0.3115909701381971,0.0336869908364103,False,1.9955137673341994
BTCUSDm,M15,lovol,4,6514,-0.3873215478761657,-1.0660201572412291,0.1940961541917034,6840,-0.2435032972509526,-0.557274320334748,0.12202536571634275,True,1.9955137673341994
BTCUSDm,M15,all_bars,1,25000,0.05746822912333869,0.40488687008059404,0.028798713426121992,24999,-0.19417592678650522,-1.2224965307682847,0.09730623259287469,False,1.9955137673341994
BTCUSDm,M15,all_bars,4,25000,0.21824651404767295,0.7697665290940825,0.10936858347974605,24996,-0.7746621471561891,-2.471492710580394,0.3882018555006302,False,1.9955137673341994
BTCUSDm,H1,bigmove_up,1,586,5.907852594207419,1.1058472828215784,1.6620348654411234,608,4.252968620237029,1.2716591279374496,1.196472324883602,True,3.5545900492523104
