symbol,tf,q,bars,days,vr_A,z_A,vr_B,z_B,same_sign,both_sig,edge_over_cost_A,edge_over_cost_B,cost_frac_bp
XAUUSDm,H1,8,30734,2954,0.9408432817550543,-0.6915160759297763,0.9725244571874775,-0.5267369010735808,True,False,5.990454153900272,2.7142198564779334,0.7811314948502593
XAUUSDm,H1,16,30734,2954,0.8719448838128236,-0.9975659828504789,1.0089449561020518,0.117114116040739,False,False,18.338660386527252,1.2496602438017388,0.7811314948502593
XAUUSDm,H4,2,9009,2954,0.9925282549383063,-0.24436853181877927,1.014758797837242,0.4603708956383896,False,False,0.6661285105804309,1.32351058102312,0.8012743730402377
XAUUSDm,H4,4,9009,2954,1.0145125726991473,0.2544944182195918,1.032508215655878,0.5550545357762308,True,False,1.8297652817506755,4.122726869467648,0.8012743730402377
XAUUSDm,H4,8,9009,2954,0.9360188127653858,-0.7066383730922193,1.0900943317768115,0.9636947788536474,False,False,11.408229966588367,16.15860623768791,0.8012743730402377
XAUUSDm,H4,16,9009,2954,0.8528974407766416,-1.0796288172459623,1.0191630169063672,0.14069355266563316,False,False,37.093789130770546,4.860548824718886,0.8012743730402377
DE30m,M5,2,50000,267,1.0450798193428654,3.799980200212243,1.0136794863573917,0.42287147917353407,True,False,0.5886386976825378,0.22466277603356558,0.6552805000293995
DE30m,M5,4,50000,267,1.0533010190062542,2.4771142442509495,1.0105090323017314,0.20660276080239334,True,False,0.9842765820113938,0.2440838556870546,0.6552805000293995
DE30m,M5,8,50000,267,1.0453943058656399,1.4061237933559052,1.0129455190957557,0.19599644437599076,True,False,1.1854903358738513,0.42521717281825744,0.6552805000293995
DE30m,M5,16,50000,267,1.0502637929694212,1.1203498588261034,1.0125127067702056,0.15443395920260766,True,False,1.8563800567139306,0.581242806352418,0.6552805000293995
DE30m,M15,2,50000,791,1.0079646192139622,0.25639798331860025,1.0048623861418107,0.3007977079081906,True,False,0.04982809287269319,0.026863013210573945,2.766952609002855
DE30m,M15,4,50000,791,1.0117062240937427,0.2224861909289196,1.0020171562094804,0.07557620424585978,True,False,0.10357169399853507,0.01576013052555458,2.766952609002855
DE30m,M15,8,50000,791,1.0213241102929622,0.28594953808360674,1.023788391548275,0.6364023280281241,True,False,0.2668149523690006,0.26284538404909785,2.766952609002855
DE30m,M15,16,50000,791,1.0102672890798203,0.10413912183745612,1.0531417358628905,1.0556673859497865,True,False,0.18168121748806632,0.8303974571899294,2.766952609002855
DE30m,H1,2,29794,3129,0.8996321564479697,-1.6350397272969428,1.014221503694478,0.8875356223684061,False,False,2.036703654746484,0.14489240671656806,3.018176901365314
DE30m,H1,4,29794,3129,0.9734856533524889,-0.21308373804377595,1.0257543403563123,0.7866605906332488,False,False,0.7609027912369412,0.3710782813258611,3.018176901365314
DE30m,H1,8,29794,3129,1.022168389034463,0.11347706674326434,1.0398098479369213,0.7628856093159136,True,False,0.899699293487898,0.811186327763757,3.018176901365314
DE30m,H1,16,29794,3129,1.061115381454388,0.2251399362442836,1.0442235803315756,0.5709438800052413,True,False,3.507751102026086,1.2743801593423527,3.018176901365314
DE30m,H4,2,8731,3129,0.8959944874672173,-1.6699112132073657,1.0237728357870666,0.9021079120271739,False,False,3.9935108943206217,0.47573704126346095,2.9306206600543265
DE30m,H4,4,8731,3129,0.9707011027345857,-0.2321519552582506,1.0160877330766076,0.2777503926317617,False,False,1.5909802474942472,0.4552980880731677,2.9306206600543265
DE30m,H4,8,8731,3129,1.0218305518122324,0.11013924027480618,0.9477562100391906,-0.5415295732942129,False,False,1.6764601100100602,2.0909836994597795,2.9306206600543265
DE30m,H4,16,8731,3129,1.0521041345588231,0.18902001644283906,0.9251000747786966,-0.5292654737708228,False,False,5.658687297676876,4.239477692437406,2.9306206600543265
BTCUSDm,M5,2,50000,173,0.9992073952659002,-0.07445883741156128,0.9854212926152263,-1.0384720519245665,True,False,0.00831399153536583,0.12604478182262766,2.016671998436383
BTCUSDm,M5,4,50000,173,0.9889105396103076,-0.571319786677786,0.983357843385169,-0.663753727707973,True,False,0.16450470656990362,0.2034840881094329,2.016671998436383
BTCUSDm,M5,8,50000,173,0.9680096179682436,-1.0853508898211033,0.978796801447496,-0.5746201355875852,True,False,0.6711233329364626,0.3666377909859798,2.016671998436383
BTCUSDm,M5,16,50000,173,0.9395994021950447,-1.4427011127500233,0.952089253573054,-0.9369385422098166,True,False,1.792004708865111,1.1716119218156227,2.016671998436383
BTCUSDm,M15,2,50000,520,1.01571835765551,1.0285779782116204,0.9818134865457752,-1.3311559200651248,False,False,0.25002611490340054,0.3236857105490289,1.9955018804061535
BTCUSDm,M15,4,50000,520,0.9975933550134677,-0.08696767094390485,0.9734867561907259,-1.0602174471633612,True,False,0.05413837729916047,0.6673473535248041,1.9955018804061535
BTCUSDm,M15,8,50000,520,1.0008884734802443,0.021527802814343647,0.9532893254889954,-1.265182819370413,False,False,0.028265239578936046,1.6627241837611901,1.9955018804061535
BTCUSDm,M15,16,50000,520,0.9910811545849393,-0.15823624072378745,0.9427594761589849,-1.131842637482326,True,False,0.4012655134891134,2.881526860648645,1.9955018804061535
BTCUSDm,H1,2,45083,2770,0.9188659888721915,-2.1964340384534085,0.9874035109225299,-1.0081317691738687,True,False,3.3228564158960405,0.25781798930327293,3.5545900679968323
BTCUSDm,H1,4,45083,2770,0.9150682701012373,-1.3454655026579834,0.9686642958919208,-1.4378215921710351,True,False,4.919189984809009,0.9070227039362769,3.5545900679968323
BTCUSDm,H1,8,45083,2770,0.9572178341178438,-0.4674856464461417,0.9547971971397006,-1.4201272884851472,True,False,3.504300906891237,1.8503720636187357,3.5545900679968323
BTCUSDm,H1,16,45083,2770,0.9905414584568291,-0.07404062769840654,0.9424149278799714,-1.2965813213708075,True,False,1.0956650214360992,3.333639329789774,3.5545900679968323
BTCUSDm,H4,2,11973,2770,0.9188955503764633,-2.1427639464842074,0.9838675540585533,-0.9254203479816386,True,False,6.8482957223026535,0.6932356049901564,3.313181790064732
BTCUSDm,H4,4,11973,2770,0.920620373964216,-1.224934247634718,0.9797405414821002,-0.6246390156050726,True,False,9.478985755343263,1.231185446562038,3.313181790064732
BTCUSDm,H4,8,11973,2770,0.9747790333103729,-0.2676327771532054,0.9304654142234178,-1.3626201719760713,True,False,4.259214854292961,5.976012665844541,3.313181790064732
BTCUSDm,H4,16,11973,2770,1.0140874561332356,0.10690529985031255,0.9259369460721536,-1.0105136634689156,False,False,3.364460194251012,9.001756295049951,3.313181790064732
US30m,M5,2,50000,259,1.0382022504180082,1.7730283479060405,0.994962529640232,-0.4175699407504796,False,False,0.74356409237591,0.08753805405912495,0.42568975934524056
US30m,M5,4,50000,259,1.0196122863643373,0.5280025506010829,0.9764374854604476,-1.0945703161493932,False,False,0.5398494778008441,0.5790566023284982,0.42568975934524056
US30m,M5,8,50000,259,1.005658868548504,0.10154041112695575,0.9577645449720003,-1.3012859705676296,False,False,0.22028709880187777,1.4678833944039607,0.42568975934524056
US30m,M5,16,50000,259,0.9748306406708479,-0.32451768231233336,0.9443919852120544,-1.2028545799233898,True,False,1.385627890395499,2.733170778635614,0.42568975934524056
US30m,M15,2,50000,777,0.9687322115053381,-0.8765138706844448,0.9696183790274273,-1.7299527735959581,True,False,0.9252634630768922,0.7012225603055299,0.554069368860257
US30m,M15,4,50000,777,0.944314568286597,-0.8834941018194897,0.944437946371947,-1.924691151825739,True,False,2.3303697610933987,1.8135862977714328,0.554069368860257
US30m,M15,8,50000,777,0.9521291478674538,-0.5244803017482529,0.9312158828348059,-1.7276168480310146,True,False,2.833148908638886,3.1751416285836576,0.554069368860257
US30m,M15,16,50000,777,0.9662020166014218,-0.27554689944498056,0.9085866914128359,-1.7542454383145982,True,False,2.8288116325773607,5.9675952583555345,0.554069368860257
US30m,H1,2,30126,2953,0.9391541540755673,-0.8045937643523534,1.010293232951752,0.4931795219958883,False,False,1.9623916382863114,0.1627321839416326,1.7030065045336795
US30m,H1,4,30126,2953,0.9899444207258195,-0.07437080231472902,1.01080946979013,0.25529869106993236,False,False,0.4586451900658112,0.24168018305860803,1.7030065045336795
US30m,H1,8,30126,2953,0.9602791126218643,-0.2085116838333296,1.0323386507511763,0.48475622198274526,False,False,2.5621449113542796,1.0225240771547681,1.7030065045336795
US30m,H1,16,30126,2953,0.9660101272281378,-0.12782137656242606,1.069847960613694,0.7692344236840061,False,False,3.100625281288704,3.123347996735556,1.7030065045336795
US30m,H4,2,8889,2953,0.9409154393573976,-0.7627143812697293,1.02029818499367,0.5855293498253443,False,False,3.7271043531270793,0.6564652550507523,1.5850011491629807
US30m,H4,4,8889,2953,0.9881900022813956,-0.08527343452946082,1.0469973151499903,0.7032143261689039,False,False,1.0535674718253696,2.149525417776062,1.5850011491629807
US30m,H4,8,8889,2953,0.9593048258572388,-0.20846623453070534,0.9625439633868897,-0.34738627976360986,True,False,5.1341724148960175,2.4227374650574522,1.5850011491629807
US30m,H4,16,8889,2953,0.9676452217248728,-0.11865234988996928,0.9367035962337125,-0.40058403561859746,True,False,5.772726254654096,5.790000059162089,1.5850011491629807
USTECm,M5,2,50000,259,1.0089494919825226,0.7987508509664302,1.0052851218320862,0.4218699733129833,True,False,0.12161353759375715,0.07705669025740115,0.8093431422511481
USTECm,M5,4,50000,259,1.000918704633036,0.041928511068904405,1.0156663327664446,0.6885083552161121,True,False,0.017655273222099366,0.323026158787817,0.8093431422511481
USTECm,M5,8,50000,259,0.9908546146119512,-0.25313263762054095,1.024267781471545,0.6962005692311929,False,False,0.24855101761549797,0.7076449624053451,0.8093431422511481
USTECm,M5,16,50000,259,0.9922973154272317,-0.14422707384786568,1.033163414290894,0.6667328620074624,False,False,0.2960538039880804,1.3676015300302742,0.8093431422511481
USTECm,M15,2,50000,777,0.992358600851682,-0.22184755034188142,0.9903311492001239,-0.6391011970673641,True,False,0.20924328712551843,0.21097336808204983,0.8295658745825425
USTECm,M15,4,50000,777,0.9819078575590228,-0.3048571777250238,0.9833952430633298,-0.644946143527068,True,False,0.7006217970228023,0.5123895903393239,0.8295658745825425
USTECm,M15,8,50000,777,0.9929742475265708,-0.08483516098755528,0.980515989871861,-0.5319067681811944,True,False,0.38477025307444196,0.8502783475634841,0.8295658745825425
