symbol,iso_year,iso_week,open,high,low,close,tick_volume,spread_median_points,spread_max_points,n_days,week_start,week_end,days_with_gap,complete_week
CHFJPYm,2025,11,167.846,168.748,166.608,167.932,277248,15.0,214,5,2025-03-10,2025-03-14,0,True
CHFJPYm,2025,12,167.78,171.003,167.766,169.031,224083,15.0,129,5,2025-03-17,2025-03-21,0,True
CHFJPYm,2025,13,168.845,171.42,168.844,170.066,206975,15.0,370,5,2025-03-24,2025-03-28,0,True
CHFJPYm,2025,14,169.976,171.388,168.03,170.666,315871,15.0,146,5,2025-03-31,2025-04-04,0,True
CHFJPYm,2025,15,170.014,176.434,169.49,175.95,454700,15.0,374,5,2025-04-07,2025-04-11,0,True
CHFJPYm,2025,16,175.557,175.959,173.172,173.831,334248,15.0,390,5,2025-04-14,2025-04-18,0,True
CHFJPYm,2025,17,173.657,174.963,172.016,173.579,301963,15.0,336,5,2025-04-21,2025-04-25,0,True
CHFJPYm,2025,18,172.9,175.989,172.363,175.387,261218,15.0,403,5,2025-04-28,2025-05-02,0,True
CHFJPYm,2025,19,174.931,175.566,172.827,174.808,250254,15.0,395,5,2025-05-05,2025-05-09,0,True
CHFJPYm,2025,20,174.894,176.122,173.635,173.862,254625,15.0,318,5,2025-05-12,2025-05-16,0,True
CHFJPYm,2025,21,173.416,174.91,173.078,173.566,249550,15.0,368,5,2025-05-19,2025-05-23,0,True
CHFJPYm,2025,22,173.525,175.64,173.327,175.011,223710,15.0,116,5,2025-05-26,2025-05-30,0,True
CHFJPYm,2025,23,174.524,176.271,174.051,176.138,214946,15.0,372,5,2025-06-02,2025-06-06,0,True
CHFJPYm,2025,24,176.013,177.641,175.57,177.55,209445,15.0,146,5,2025-06-09,2025-06-13,0,True
CHFJPYm,2025,25,177.153,178.702,176.688,178.511,204937,15.0,396,5,2025-06-16,2025-06-20,0,True
CHFJPYm,2025,26,179.244,181.396,178.621,181.067,223352,15.0,112,5,2025-06-23,2025-06-27,0,True
CHFJPYm,2025,27,180.524,182.45,180.184,181.893,213912,15.0,392,5,2025-06-30,2025-07-04,0,True
CHFJPYm,2025,28,181.58,185.131,181.576,185.035,200082,24.0,155,5,2025-07-07,2025-07-11,0,True
CHFJPYm,2025,29,184.455,186.03,184.276,185.641,216249,24.0,427,5,2025-07-14,2025-07-18,0,True
CHFJPYm,2025,30,184.816,185.792,183.876,185.707,224584,24.0,435,5,2025-07-21,2025-07-25,0,True
CHFJPYm,2025,31,185.34,186.036,182.649,183.285,251237,24.0,361,5,2025-07-28,2025-08-01,0,True
CHFJPYm,2025,32,182.83,183.569,181.585,182.711,223087,24.0,262,5,2025-08-04,2025-08-08,0,True
CHFJPYm,2025,33,182.413,183.626,181.466,182.361,203862,24.0,322,5,2025-08-11,2025-08-15,0,True
CHFJPYm,2025,34,182.41,184.019,182.074,183.294,193005,24.0,428,5,2025-08-18,2025-08-22,0,True
CHFJPYm,2025,35,183.082,184.065,182.83,183.645,193111,24.0,161,5,2025-08-25,2025-08-29,0,True
CHFJPYm,2025,36,183.591,185.12,183.447,184.64,204836,24.0,301,5,2025-09-01,2025-09-05,0,True
CHFJPYm,2025,37,185.302,186.215,184.239,185.359,207382,24.0,436,5,2025-09-08,2025-09-12,0,True
CHFJPYm,2025,38,185.008,187.051,184.974,185.968,215877,24.0,189,5,2025-09-15,2025-09-19,0,True
CHFJPYm,2025,39,185.958,187.572,185.672,187.3,190151,24.0,422,5,2025-09-22,2025-09-26,0,True
CHFJPYm,2025,40,187.162,187.388,183.976,185.426,201376,24.0,200,5,2025-09-29,2025-10-03,0,True
CHFJPYm,2025,41,187.231,191.156,186.798,189.126,249126,24.0,340,5,2025-10-06,2025-10-10,0,True
CHFJPYm,2025,42,189.41,190.127,188.712,189.75,259985,24.0,311,5,2025-10-13,2025-10-17,0,True
CHFJPYm,2025,43,189.667,192.354,189.485,192.119,216086,24.0,104,5,2025-10-20,2025-10-24,0,True
CHFJPYm,2025,44,191.622,192.687,190.487,191.403,238020,24.0,102,5,2025-10-27,2025-10-31,0,True
CHFJPYm,2025,45,191.688,191.826,189.102,190.488,208131,24.0,89,5,2025-11-03,2025-11-07,0,True
CHFJPYm,2025,46,190.63,195.589,190.339,194.539,205831,24.0,184,5,2025-11-10,2025-11-14,0,True
CHFJPYm,2025,47,194.323,195.719,193.331,193.42,234601,24.0,162,5,2025-11-17,2025-11-21,0,True
CHFJPYm,2025,48,193.362,194.589,192.888,194.059,221994,24.0,248,5,2025-11-24,2025-11-28,0,True
CHFJPYm,2025,49,193.892,194.388,192.391,193.025,196768,24.0,315,5,2025-12-01,2025-12-05,0,True
CHFJPYm,2025,50,192.918,196.206,192.644,195.727,195047,24.0,136,5,2025-12-08,2025-12-12,0,True
CHFJPYm,2025,51,195.706,198.292,194.262,198.17,210383,24.0,155,5,2025-12-15,2025-12-19,0,True
CHFJPYm,2025,52,198.028,198.57,197.182,198.294,154611,24.0,270,4,2025-12-22,2025-12-26,0,False
CHFJPYm,2026,1,198.238,198.469,197.144,197.918,143567,24.0,322,4,2025-12-29,2026-01-02,0,False
CHFJPYm,2026,2,197.763,198.326,196.073,197.07,193031,24.0,110,5,2026-01-05,2026-01-09,0,True
CHFJPYm,2026,3,197.229,199.435,196.776,196.83,204286,24.0,97,5,2026-01-12,2026-01-16,0,True
CHFJPYm,2026,4,196.821,201.312,196.515,199.494,262198,24.0,122,5,2026-01-19,2026-01-23,0,True
CHFJPYm,2026,5,199.516,201.148,197.258,200.204,381040,24.0,191,5,2026-01-26,2026-01-30,0,True
CHFJPYm,2026,6,200.165,202.691,199.101,202.652,270319,24.0,329,5,2026-02-02,2026-02-06,0,True
CHFJPYm,2026,7,202.308,203.651,197.642,198.869,305002,24.0,204,5,2026-02-09,2026-02-13,0,True
CHFJPYm,2026,8,198.511,200.939,198.426,199.842,216363,24.0,310,5,2026-02-16,2026-02-20,0,True
CHFJPYm,2026,9,199.81,203.381,199.335,202.874,227683,24.0,212,5,2026-02-23,2026-02-27,0,True
CHFJPYm,2026,10,203.206,204.001,200.413,203.304,329832,24.0,342,5,2026-03-02,2026-03-06,0,True
CHFJPYm,2026,11,202.684,204.006,201.699,201.792,282962,24.0,153,5,2026-03-09,2026-03-13,0,True
CHFJPYm,2026,12,201.75,202.709,199.486,202.028,254497,24.0,149,5,2026-03-16,2026-03-20,0,True
CHFJPYm,2026,13,201.633,202.488,200.287,200.58,315823,24.0,149,5,2026-03-23,2026-03-27,0,True
CHFJPYm,2026,14,200.707,200.731,197.727,199.347,245037,21.0,296,5,2026-03-30,2026-04-03,0,True
CHFJPYm,2026,15,199.221,202.554,199.1,201.819,245286,21.0,246,5,2026-04-06,2026-04-10,0,True
CHFJPYm,2026,16,201.581,203.888,201.391,202.859,216459,21.0,187,5,2026-04-13,2026-04-17,0,True
CHFJPYm,2026,17,203.069,204.415,202.664,202.979,219865,21.0,149,5,2026-04-20,2026-04-24,0,True
CHFJPYm,2026,18,202.747,203.22,198.24,200.947,329267,21.0,278,5,2026-04-27,2026-05-01,0,True
CHFJPYm,2026,19,200.572,202.011,198.998,201.801,305293,21.0,347,5,2026-05-04,2026-05-08,0,True
CHFJPYm,2026,20,201.24,202.27,201.061,201.736,204580,21.0,355,5,2026-05-11,2026-05-15,0,True
CHFJPYm,2026,21,201.409,202.995,201.081,202.737,224941,21.0,182,5,2026-05-18,2026-05-22,0,True
CHFJPYm,2026,22,202.275,204.196,201.839,203.881,179884,21.0,327,5,2026-05-25,2026-05-29,0,True
CHFJPYm,2026,23,203.917,203.947,201.017,201.255,200809,21.0,149,5,2026-06-01,2026-06-05,0,True
CHFJPYm,2026,24,201.119,201.487,200.302,200.98,219939,21.0,106,5,2026-06-08,2026-06-12,0,True
CHFJPYm,2026,25,200.938,202.596,199.462,199.84,219093,21.0,170,5,2026-06-15,2026-06-19,0,True
CHFJPYm,2026,26,199.62,200.398,198.701,199.685,237200,21.0,138,5,2026-06-22,2026-06-26,0,True
CHFJPYm,2026,27,199.555,201.543,199.441,200.803,230615,21.0,92,5,2026-06-29,2026-07-03,0,True
CHFJPYm,2026,28,200.613,201.582,199.929,199.992,209687,21.0,132,5,2026-07-06,2026-07-10,0,True
CHFJPYm,2026,29,199.95,201.515,199.217,201.127,222878,21.0,320,5,2026-07-13,2026-07-17,0,True
CHFJPYm,2026,30,200.928,201.353,200.097,200.237,191753,21.0,116,5,2026-07-20,2026-07-24,0,True
CHFJPYm,2026,31,200.23,200.934,194.756,195.067,451963,21.0,234,5,2026-07-27,2026-07-31,0,True
EURJPYm,2021,31,130.148,130.414,129.129,129.635,96923,19.0,49,5,2021-08-02,2021-08-06,0,True
EURJPYm,2021,32,129.651,129.797,129.227,129.278,72402,19.0,48,5,2021-08-09,2021-08-13,0,True
EURJPYm,2021,33,129.289,129.424,127.926,128.436,96519,19.0,80,5,2021-08-16,2021-08-20,0,True
EURJPYm,2021,34,128.346,129.756,128.304,129.562,85393,19.0,49,5,2021-08-23,2021-08-27,0,True
EURJPYm,2021,35,129.534,130.736,129.481,130.289,80257,19.0,48,5,2021-08-30,2021-09-03,0,True
EURJPYm,2021,36,130.307,130.686,129.661,129.8,78727,19.0,78,5,2021-09-06,2021-09-10,0,True
EURJPYm,2021,37,129.82,130.187,128.602,128.95,84269,19.0,49,5,2021-09-13,2021-09-17,0,True
EURJPYm,2021,38,128.923,129.838,127.922,129.788,106774,19.0,56,5,2021-09-20,2021-09-24,0,True
EURJPYm,2021,39,129.788,130.465,128.542,128.756,124118,19.0,49,5,2021-09-27,2021-10-01,0,True
EURJPYm,2021,40,128.631,129.903,128.326,129.888,113049,19.0,48,5,2021-10-04,2021-10-08,0,True
EURJPYm,2021,41,129.738,132.766,129.732,132.523,107616,19.0,56,5,2021-10-11,2021-10-15,0,True
EURJPYm,2021,42,132.439,133.47,131.912,132.145,115792,19.0,54,5,2021-10-18,2021-10-22,0,True
EURJPYm,2021,43,132.127,132.909,131.549,131.808,129579,19.0,54,5,2021-10-25,2021-10-29,0,True
EURJPYm,2021,44,131.801,132.554,130.829,131.164,127424,19.0,49,5,2021-11-01,2021-11-05,0,True
EURJPYm,2021,45,131.028,131.421,130.229,130.349,126542,19.0,48,5,2021-11-08,2021-11-12,0,True
EURJPYm,2021,46,130.382,130.591,127.97,128.621,143195,19.0,49,5,2021-11-15,2021-11-19,0,True
EURJPYm,2021,47,128.639,129.589,127.774,128.172,173950,19.0,123,5,2021-11-22,2021-11-26,0,True
