market,report_date,usable_from,open_interest,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
nikkei,2016-08-09,2016-08-12,35341,9218,2431,18,17653,28572,8452,4320
nikkei,2016-08-16,2016-08-19,36532,9493,2393,18,18022,28599,8999,5522
nikkei,2016-08-23,2016-08-26,35404,9156,2264,118,18031,28597,8099,4425
nikkei,2016-08-30,2016-09-02,36796,10872,2644,18,17978,28509,7928,5625
nikkei,2016-09-06,2016-09-09,49765,10644,3000,208,28989,39526,9924,7031
nikkei,2016-09-13,2016-09-16,32801,10697,3351,18,14997,24001,7089,5431
nikkei,2016-09-20,2016-09-23,33242,10392,3297,18,16170,24991,6662,4936
nikkei,2016-09-27,2016-09-30,34218,11313,2830,9,15064,25680,7832,5699
nikkei,2016-10-04,2016-10-07,32644,11857,2589,15,14336,25456,6436,4584
nikkei,2016-10-11,2016-10-14,32862,9627,2559,8,14489,25580,8738,4715
nikkei,2016-10-18,2016-10-21,33116,11160,3335,8,14635,25085,7313,4688
nikkei,2016-10-25,2016-10-28,34701,11445,3363,60,14325,26263,8871,5015
nikkei,2016-11-01,2016-11-04,36267,13145,2925,8,14398,28928,8716,4406
nikkei,2016-11-08,2016-11-11,34948,11747,2485,5,14053,28346,9143,4112
nikkei,2016-11-15,2016-11-18,35489,10950,2951,5,15859,28461,8675,4072
nikkei,2016-11-22,2016-11-25,35836,12178,2752,3,15056,28702,8599,4379
nikkei,2016-11-29,2016-12-02,36014,11958,2797,136,15396,28411,8524,4670
nikkei,2016-12-06,2016-12-09,50456,11354,2923,1465,25231,38863,12406,7205
nikkei,2016-12-13,2016-12-16,30333,7583,6368,0,15359,17594,7391,6371
nikkei,2016-12-20,2016-12-23,28999,6421,5777,0,15076,16360,7502,6862
nikkei,2016-12-27,2016-12-30,28503,5976,5911,0,15101,16295,7426,6297
nikkei,2017-01-03,2017-01-06,28256,7028,5299,96,13770,15878,7362,6983
nikkei,2017-01-10,2017-01-13,27963,6709,6344,90,13534,15945,7630,5584
nikkei,2017-01-17,2017-01-20,28908,7604,5420,109,12884,16731,8311,6648
nikkei,2017-01-24,2017-01-27,28092,7812,4973,0,11754,17161,8526,5958
nikkei,2017-01-31,2017-02-03,28665,7966,5051,500,12158,18094,8041,5020
nikkei,2017-02-07,2017-02-10,29499,9330,4625,0,12179,18677,7990,6197
nikkei,2017-02-14,2017-02-17,32342,10365,4782,123,12600,18874,9254,8563
nikkei,2017-02-21,2017-02-24,31672,9479,5247,7,12610,19144,9576,7274
nikkei,2017-02-28,2017-03-03,32043,10272,5717,139,12633,18676,8999,7511
nikkei,2017-03-07,2017-03-10,50129,12260,5629,4896,23224,26426,9749,13178
nikkei,2017-03-14,2017-03-17,33999,12624,6868,0,13033,18179,8342,8952
nikkei,2017-03-21,2017-03-24,33346,11024,7059,0,12996,18184,9326,8103
nikkei,2017-03-28,2017-03-31,35387,14161,8334,0,12467,18770,8759,8283
nikkei,2017-04-04,2017-04-07,37858,16468,9955,0,12872,20023,8518,7880
nikkei,2017-04-11,2017-04-14,40877,17749,13456,13,14203,22126,8912,5282
nikkei,2017-04-18,2017-04-21,41015,18010,13420,0,13302,23092,9703,4503
nikkei,2017-04-25,2017-04-28,39317,17635,11616,2,12372,24397,9308,3302
nikkei,2017-05-02,2017-05-05,38715,17758,11072,0,12361,24316,8596,3327
nikkei,2017-05-09,2017-05-12,40599,18383,12535,0,13010,24318,9206,3746
nikkei,2017-05-16,2017-05-19,41054,17392,12949,23,12637,24618,11002,3464
nikkei,2017-05-23,2017-05-26,40148,17364,12581,23,12963,24385,9798,3159
nikkei,2017-05-30,2017-06-02,39530,17739,12462,114,13277,23733,8400,3221
nikkei,2017-06-06,2017-06-09,56378,16264,11667,5601,22445,32488,12068,6622
nikkei,2017-06-13,2017-06-16,36672,14764,7242,0,13898,27340,8010,2090
nikkei,2017-06-20,2017-06-23,37896,13846,7833,0,15942,27354,8108,2709
nikkei,2017-06-27,2017-06-30,36845,12533,6932,0,15745,26840,8567,3073
nikkei,2017-07-03,2017-07-07,36443,13172,6605,0,15040,26946,8231,2892
nikkei,2017-07-11,2017-07-14,36551,13661,6223,28,14750,27198,8112,3102
nikkei,2017-07-18,2017-07-21,36265,13985,5692,2,14252,27189,8026,3382
nikkei,2017-07-25,2017-07-28,35901,12222,6138,2,14646,27168,9031,2593
nikkei,2017-08-01,2017-08-04,35634,12228,5992,2,14090,26991,9314,2649
nikkei,2017-08-08,2017-08-11,35241,12982,5664,0,14215,26687,8044,2890
nikkei,2017-08-15,2017-08-18,34288,12569,5717,13,14696,26361,7010,2197
nikkei,2017-08-22,2017-08-25,34424,12966,5939,103,14878,26093,6477,2289
nikkei,2017-08-29,2017-09-01,34541,12394,5681,112,13974,26008,8061,2740
nikkei,2017-09-05,2017-09-08,44218,13510,5734,4410,19314,29856,6984,4218
nikkei,2017-09-12,2017-09-15,34932,14668,8453,0,14370,23119,5894,3360
nikkei,2017-09-19,2017-09-22,36752,15338,9204,233,13507,23514,7674,3801
nikkei,2017-09-26,2017-09-29,36802,15611,10618,161,14277,22323,6753,3700
nikkei,2017-10-03,2017-10-06,37980,15256,12199,246,15069,21687,7409,3848
nikkei,2017-10-10,2017-10-13,38772,16889,11940,33,15154,21700,6696,5099
nikkei,2017-10-17,2017-10-20,40402,15871,11299,863,15788,22823,7880,5417
nikkei,2017-10-24,2017-10-27,42608,18357,12658,642,16207,24915,7402,4393
nikkei,2017-10-31,2017-11-03,43522,18407,13367,545,16526,25469,8044,4141
nikkei,2017-11-07,2017-11-10,42973,17137,12357,462,16951,25415,8423,4739
nikkei,2017-11-14,2017-11-17,41439,17142,10892,171,15590,26639,8536,3737
nikkei,2017-11-21,2017-11-24,42332,17733,11657,152,15232,26741,9215,3782
nikkei,2017-11-28,2017-12-01,42099,17336,11111,155,15491,26962,9117,3871
nikkei,2017-12-05,2017-12-08,56633,17347,11179,7191,17770,30120,14325,8143
nikkei,2017-12-12,2017-12-15,38181,16807,10514,0,13698,23685,7676,3982
nikkei,2017-12-19,2017-12-22,38668,16029,10360,0,14457,24752,8182,3556
nikkei,2017-12-26,2017-12-29,39115,12190,10682,268,18869,24438,7788,3727
nikkei,2018-01-02,2018-01-05,40475,12901,12259,268,18871,24364,8435,3584
nikkei,2018-01-09,2018-01-12,46320,14148,18672,513,22424,23795,9235,3340
nikkei,2018-01-16,2018-01-19,47198,15480,17895,359,22033,25728,9326,3216
nikkei,2018-01-23,2018-01-26,49964,18317,18749,300,21854,26395,9493,4520
nikkei,2018-01-30,2018-02-02,50728,18621,18524,0,22162,29141,9945,3063
nikkei,2018-02-06,2018-02-09,53591,21961,18372,93,23440,31862,8097,3264
nikkei,2018-02-13,2018-02-16,54737,22685,17733,73,23994,33684,7985,3247
nikkei,2018-02-20,2018-02-23,56484,25295,18159,12,23117,35066,8060,3247
nikkei,2018-02-27,2018-03-02,55941,25645,17277,126,23018,35082,7152,3456
nikkei,2018-03-06,2018-03-09,65703,25105,16799,4050,27903,40045,8645,4809
nikkei,2018-03-13,2018-03-16,48678,19494,10992,422,21955,33175,6807,4089
nikkei,2018-03-20,2018-03-23,46789,17776,7803,12,22416,35582,6585,3392
nikkei,2018-03-27,2018-03-30,47312,18846,4632,12,22385,38611,6069,4057
nikkei,2018-04-03,2018-04-06,44359,15415,4487,896,21544,36119,6504,2857
nikkei,2018-04-10,2018-04-13,44889,15006,4763,1020,22080,36048,6783,3058
nikkei,2018-04-17,2018-04-20,44651,15096,6083,510,22909,35923,6136,2135
nikkei,2018-04-24,2018-04-27,43861,16094,5200,579,21040,35165,6148,2917
nikkei,2018-05-01,2018-05-04,44213,16999,5306,825,20325,35077,6064,3005
nikkei,2018-05-08,2018-05-11,45206,16557,5406,998,21423,35036,6228,3766
nikkei,2018-05-15,2018-05-18,44659,15731,5032,1122,21488,34976,6318,3529
nikkei,2018-05-22,2018-05-25,45560,16414,6040,1132,21524,34952,6490,3436
nikkei,2018-05-29,2018-06-01,44094,15977,5589,289,20646,35282,7182,2934
nikkei,2018-06-05,2018-06-08,49016,18008,6022,3444,20284,35617,7280,3933
nikkei,2018-06-12,2018-06-15,31221,6747,8898,186,18160,17769,6128,4368
nikkei,2018-06-19,2018-06-22,31140,5936,11554,173,18687,16234,6344,3179
nikkei,2018-06-26,2018-06-29,29667,5986,11839,214,17615,13616,5852,3998
nikkei,2018-07-03,2018-07-06,31852,5846,13922,213,19828,14208,5965,3509
nikkei,2018-07-10,2018-07-13,30547,6083,12596,238,18254,15394,5972,2319
nikkei,2018-07-17,2018-07-20,29522,6595,11866,240,17097,15372,5590,2044
nikkei,2018-07-24,2018-07-27,29981,6540,11938,255,17567,15319,5619,2469
nikkei,2018-07-31,2018-08-03,29557,6334,11420,253,17347,14506,5623,3378
nikkei,2018-08-07,2018-08-10,30058,7189,9847,260,17106,17497,5503,2454
nikkei,2018-08-14,2018-08-17,31916,6071,11737,23,19860,17031,5962,3125
nikkei,2018-08-21,2018-08-24,32026,6586,11902,115,18834,17123,6491,2886
nikkei,2018-08-28,2018-08-31,32555,7278,11940,25,18728,17083,6524,3507
nikkei,2018-09-04,2018-09-07,34097,8827,12825,420,18842,17183,6008,3669
nikkei,2018-09-11,2018-09-14,36575,7725,11591,2911,19086,17922,6853,4151
nikkei,2018-09-18,2018-09-21,31753,8487,17423,23,16295,10045,6948,4262
nikkei,2018-09-25,2018-09-28,31793,8440,17147,29,16393,10807,6931,3810
nikkei,2018-10-02,2018-10-05,33187,9085,17778,243,16883,11698,6976,3468
nikkei,2018-10-09,2018-10-12,33725,8864,17840,272,18287,12152,6302,3461
nikkei,2018-10-16,2018-10-19,32575,8461,17589,33,17383,11387,6698,3566
nikkei,2018-10-23,2018-10-26,30275,7854,15681,274,15735,11615,6412,2705
nikkei,2018-10-30,2018-11-02,29026,7372,14340,373,14727,11026,6554,3287
nikkei,2018-11-06,2018-11-09,29057,6886,14920,374,15685,10395,6112,3368
nikkei,2018-11-13,2018-11-16,30552,7579,13909,383,16895,12402,5695,3858
