ts_utc,ts_ms,instId,side,posSide,sz,bkPx
2026-07-31T14:09:09.443+00:00,1785506949443,BTC-USDT-SWAP,sell,long,4.57,62561.9
2026-07-31T14:09:09.406+00:00,1785506949406,BTC-USDT-SWAP,sell,long,0.22,62561.9
2026-07-31T14:09:09.400+00:00,1785506949400,BTC-USDT-SWAP,sell,long,5.83,62561.9
2026-07-31T14:09:09.382+00:00,1785506949382,BTC-USDT-SWAP,sell,long,11.57,62569.3
2026-07-31T14:09:09.377+00:00,1785506949377,BTC-USDT-SWAP,sell,long,82.58,62561.9
2026-07-31T14:09:09.368+00:00,1785506949368,BTC-USDT-SWAP,sell,long,2.45,62569.3
2026-07-31T14:09:09.355+00:00,1785506949355,BTC-USDT-SWAP,sell,long,21.25,62561.9
2026-07-31T14:09:09.305+00:00,1785506949305,BTC-USDT-SWAP,sell,long,2.75,62569.3
2026-07-31T14:09:09.202+00:00,1785506949202,BTC-USDT-SWAP,sell,long,1.56,62569.3
2026-07-31T14:09:08.882+00:00,1785506948882,BTC-USDT-SWAP,sell,long,20.55,62578.7
2026-07-31T14:08:40.121+00:00,1785506920121,BTC-USDT-SWAP,sell,long,0.58,62578.9
2026-07-31T14:08:40.112+00:00,1785506920112,BTC-USDT-SWAP,sell,long,6.13,62578.9
2026-07-31T14:08:40.068+00:00,1785506920068,BTC-USDT-SWAP,sell,long,7.85,62578.9
2026-07-31T14:08:33.078+00:00,1785506913078,BTC-USDT-SWAP,sell,long,0.31,62598.7
2026-07-31T14:07:06.544+00:00,1785506826544,BTC-USDT-SWAP,sell,long,3,62592.2
2026-07-31T14:07:06.442+00:00,1785506826442,BTC-USDT-SWAP,sell,long,0.23,62592.2
2026-07-31T14:07:04.805+00:00,1785506824805,BTC-USDT-SWAP,sell,long,7.53,62584.2
2026-07-31T14:07:04.769+00:00,1785506824769,BTC-USDT-SWAP,sell,long,6.74,62580.7
2026-07-31T14:07:04.758+00:00,1785506824758,BTC-USDT-SWAP,sell,long,117.51,62580.7
2026-07-31T14:07:04.734+00:00,1785506824734,BTC-USDT-SWAP,sell,long,50,62580.7
2026-07-31T14:07:04.733+00:00,1785506824733,BTC-USDT-SWAP,sell,long,4.19,62580.7
2026-07-31T14:07:04.730+00:00,1785506824730,BTC-USDT-SWAP,sell,long,1,62580.7
2026-07-31T14:07:04.730+00:00,1785506824730,BTC-USDT-SWAP,sell,long,109.38,62580.7
2026-07-31T14:07:04.730+00:00,1785506824730,BTC-USDT-SWAP,sell,long,2.9,62580.7
2026-07-31T14:07:04.698+00:00,1785506824698,BTC-USDT-SWAP,sell,long,0.04,62580.7
