t_local,mt5_ms,mt5_bid,mt5_ask,okx_ms,okx_last,okx_bid,okx_ask,bid_sz1,ask_sz1,bid_sz5,ask_sz5,fetch_ms
2026-07-31T21:49:01.236+00:00,1785534538705,62983.37,62993.37,1785534539654,63046.649999999994,63046.6,63046.7,0.56082499,0.00790526,0.8968993599999999,0.31054869,336.3
2026-07-31T21:49:03.602+00:00,1785534541804,62983.11,62993.11,1785534542004,63046.649999999994,63046.6,63046.7,0.28858861,0.20608697,0.9669757000000001,0.67280831,352.4
2026-07-31T21:49:05.947+00:00,1785534543875,62980.96,62990.96,1785534544354,63046.649999999994,63046.6,63046.7,0.27576161,0.20608697,1.59265562,0.67280831,343.6
2026-07-31T21:49:08.294+00:00,1785534546269,62979.52,62989.52,1785534546704,63046.649999999994,63046.6,63046.7,0.27599161,0.19613514,1.5928856200000001,0.6631739400000001,344.4
2026-07-31T21:49:10.645+00:00,1785534548401,62979.49,62989.49,1785534549054,63046.649999999994,63046.6,63046.7,0.68931826,0.06602275,1.5456504699999998,0.52303653,343.4
2026-07-31T21:49:13.002+00:00,1785534548401,62979.49,62989.49,1785534551404,63046.649999999994,63046.6,63046.7,0.69031737,0.06586462,1.33669143,0.5228784000000001,349.4
2026-07-31T21:49:15.400+00:00,1785534548401,62979.49,62989.49,1785534553804,63046.649999999994,63046.6,63046.7,0.69556014,0.05082166,1.3367880799999998,0.50899033,396.1
2026-07-31T21:49:17.751+00:00,1785534555848,62979.61,62989.61,1785534556154,63046.649999999994,63046.6,63046.7,0.70069029,0.03538649,1.3414917499999999,0.41502194000000003,349.6
2026-07-31T21:49:20.146+00:00,1785534558016,62980.17,62990.17,1785534558554,63046.649999999994,63046.6,63046.7,0.65004411,0.00522377,1.7552214499999998,0.27556496,385.7
2026-07-31T21:49:22.486+00:00,1785534560069,62984.02,62994.02,1785534560904,63046.649999999994,63046.6,63046.7,0.6633642,0.00522377,0.9228798099999999,0.37679192,337.8
2026-07-31T21:49:24.850+00:00,1785534563195,62985.87,62995.87,1785534563254,63046.649999999994,63046.6,63046.7,0.64144066,0.00484377,1.04935019,0.37641192,350.7
2026-07-31T21:49:27.193+00:00,1785534565266,62984.59,62994.59,1785534565604,63046.649999999994,63046.6,63046.7,0.64780841,0.00584425,1.26024135,0.3774124,341.9
2026-07-31T21:49:29.551+00:00,1785534567307,62984.26,62994.26,1785534567954,63046.649999999994,63046.6,63046.7,0.63078129,0.00427182,1.2542215700000001,0.37583997,352.0
2026-07-31T21:49:31.900+00:00,1785534569830,62974.13,62984.13,1785534570304,63046.75,63046.7,63046.8,0.035871,1.03328961,0.04474742,1.66178738,347.6
2026-07-31T21:49:34.248+00:00,1785534571907,62972.64,62982.64,1785534572654,63046.75,63046.7,63046.8,0.014573,1.03328961,0.02344942,1.4177346300000002,346.2
2026-07-31T21:49:36.602+00:00,1785534574675,62969.5,62979.5,1785534575004,63033.05,63033.0,63033.1,0.29142206,0.57950057,1.0059317700000001,0.7495377299999999,352.5
2026-07-31T21:49:38.944+00:00,1785534576829,62965.33,62975.33,1785534577354,63032.149999999994,63032.1,63032.2,0.21053177,1.12097386,0.21152653,1.6326327800000002,340.7
2026-07-31T21:49:41.296+00:00,1785534578887,62965.74,62975.74,1785534579704,63032.149999999994,63032.1,63032.2,0.20048977,1.06381779,0.20148453,1.6326327800000002,346.3
2026-07-31T21:49:43.646+00:00,1785534581921,62967.25,62977.25,1785534582054,63032.149999999994,63032.1,63032.2,0.22138077,1.70867352,0.22237553,2.2774885100000004,347.8
2026-07-31T21:49:45.988+00:00,1785534584044,62967.22,62977.22,1785534584404,63032.149999999994,63032.1,63032.2,0.21749877,1.70867352,0.21849353,2.2774885100000004,339.6
2026-07-31T21:49:48.349+00:00,1785534586078,62963.14,62973.14,1785534586754,63032.149999999994,63032.1,63032.2,0.22114855,1.70867352,0.22214330999999998,2.4297752200000002,349.7
2026-07-31T21:49:50.698+00:00,1785534588337,62962.98,62972.98,1785534589104,63032.149999999994,63032.1,63032.2,0.22101855,1.73918651,0.22201331,2.4602882100000003,348.0
2026-07-31T21:49:53.043+00:00,1785534590430,62965.13,62975.13,1785534591454,63032.149999999994,63032.1,63032.2,0.21755565,1.70777659,0.21855040999999997,2.41887829,342.8
2026-07-31T21:49:55.392+00:00,1785534593623,62967.63,62977.63,1785534593804,63032.149999999994,63032.1,63032.2,0.21779265,1.70777659,0.21878741,2.44854279,342.4
2026-07-31T21:49:57.751+00:00,1785534595678,62969.73,62979.73,1785534596154,63032.149999999994,63032.1,63032.2,0.21805892,1.70769092,0.21905367999999997,2.21934984,349.5
2026-07-31T21:50:00.107+00:00,1785534598015,62990.85,63000.85,1785534598504,63049.55,63049.5,63049.6,0.22028282,1.02120725,0.46028282,1.49540746,354.6
2026-07-31T21:50:02.450+00:00,1785534600585,62992.3,63002.3,1785534600854,63049.55,63049.5,63049.6,0.67326315,0.71543127,1.7103552800000001,0.8382945599999999,339.4
2026-07-31T21:50:04.801+00:00,1785534603131,62969.38,62979.38,1785534603204,63036.45,63036.4,63036.5,0.62769369,0.43681967,1.3655882499999998,0.84064438,349.1
2026-07-31T21:50:07.152+00:00,1785534605235,62977.94,62987.94,1785534605554,63024.05,63024.0,63024.1,0.095208,0.84398581,0.18840685,2.46535009,350.0
2026-07-31T21:50:09.499+00:00,1785534606992,62950.72,62960.72,1785534607904,63024.05,63024.0,63024.1,0.01027532,2.18148932,0.01183136,2.67249478,345.3
2026-07-31T21:50:11.848+00:00,1785534609531,62950.83,62960.83,1785534610254,63016.95,63016.9,63017.0,0.03084803,1.22020533,0.16905651,1.8082185400000002,346.5
2026-07-31T21:50:14.207+00:00,1785534612445,62950.6,62960.6,1785534612604,63016.95,63016.9,63017.0,0.22561947,0.47667895,0.42659329999999995,1.3806524900000001,354.3
2026-07-31T21:50:16.547+00:00,1785534614509,62950.69,62960.69,1785534614954,63016.95,63016.9,63017.0,0.22631847,0.48682108,0.6411522000000001,1.3907946199999999,338.0
2026-07-31T21:50:18.902+00:00,1785534617173,62950.73,62960.73,1785534617304,63016.95,63016.9,63017.0,0.44098265,1.05253255,0.58410583,1.3004887100000002,351.3
2026-07-31T21:50:21.251+00:00,1785534618219,62950.78,62960.78,1785534619654,63016.95,63016.9,63017.0,0.25390534,1.14941135,0.25582208,1.80199638,346.9
2026-07-31T21:50:23.610+00:00,1785534621901,62974.01,62984.01,1785534622004,63027.55,63027.5,63027.6,0.05556495,1.14844988,0.23558087,1.29331455,357.0
2026-07-31T21:50:25.952+00:00,1785534623391,62969.1,62979.1,1785534624354,63025.05,63025.0,63025.1,0.13745745,1.18972303,0.5372742899999999,1.4486561699999998,340.7
2026-07-31T21:50:28.298+00:00,1785534625653,62970.8,62980.8,1785534626704,63028.45,63028.4,63028.5,0.98717892,0.18565526,1.55903124,0.57614978,342.8
2026-07-31T21:50:30.650+00:00,1785534628996,62963.68,62973.68,1785534629054,63025.149999999994,63025.1,63025.2,0.03179577,1.12919158,0.60843408,1.64379723,349.5
