ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx
2026-07-12T16:00:00+00:00,1783872000000,2581194025.693,108346129.9956,1.24,55177286.6951,53168843.3005,5.64601192152e-05
2026-07-12T17:00:00+00:00,1783875600000,2580791747.715,119278156.6498,1.24,68556684.5254,50721472.1244,5.64601192152e-05
2026-07-12T18:00:00+00:00,1783879200000,2578832013.5718,49897842.9251,1.24,25420383.0705,24477459.8547,5.64601192152e-05
2026-07-12T19:00:00+00:00,1783882800000,2579981921.891,45196920.603,1.24,22233398.2896,22963522.3134,5.64601192152e-05
2026-07-12T20:00:00+00:00,1783886400000,2577618092.6114,45966856.5295,1.2,15582727.1332,30384129.3963,5.64601192152e-05
2026-07-12T21:00:00+00:00,1783890000000,2572471910.8736,28969191.2431,1.2,17571028.9981,11398162.2451,5.64601192152e-05
2026-07-12T22:00:00+00:00,1783893600000,2564090006.215,92024094.7554,1.23,48436729.889,43584053.6139,5.64601192152e-05
2026-07-12T23:00:00+00:00,1783897200000,2556900701.2732,218972723.701,1.26,106715409.8919,111103459.8251,5.64601192152e-05
2026-07-13T00:00:00+00:00,1783900800000,2565392507.3419,125786720.831,1.28,60735947.7536,65050773.0775,6.70987512867e-05
2026-07-13T01:00:00+00:00,1783904400000,2546001067.0854,670277915.9162,1.29,322120304.1803,345896196.0665,6.70987512867e-05
2026-07-13T02:00:00+00:00,1783908000000,2560353800.4182,479746086.1129,1.34,244985032.4401,232169122.949,6.70987512867e-05
2026-07-13T03:00:00+00:00,1783911600000,2601191742.5576,446190133.9362,1.35,222588597.8886,222176573.5134,6.70987512867e-05
2026-07-13T04:00:00+00:00,1783915200000,2593510710.7191,806390215.4992,1.46,439509062.6076,359492956.644,6.70987512867e-05
2026-07-13T05:00:00+00:00,1783918800000,2593384686.1206,370921733.7584,1.52,209755089.5494,160180576.4039,6.70987512867e-05
2026-07-13T06:00:00+00:00,1783922400000,2604774924.629,414454619.9577,1.58,206148847.5536,203650729.9125,6.70987512867e-05
2026-07-13T07:00:00+00:00,1783926000000,2613771058.0694,120889527.2048,1.59,56096554.9742,64780406.0106,6.70987512867e-05
