ts_utc,ts_ms,open_interest,contract_volume,long_short,taker_buy,taker_sell,funding_okx,funding_deribit
2026-07-31T23:30:00+00:00,1785540600000,2569925248.6664,3377139.6611,2.09,2279421.8299,1097717.8312,5.84658755762e-05,4.089863297726494e-07
2026-07-31T23:35:00+00:00,1785540900000,2569554126.1556,1768716.1365,2.09,1674201.0197,1333937.0292,5.6878197612e-05,4.087308067738184e-07
2026-07-31T23:40:00+00:00,1785541200000,2569040768.7078,3008138.0489,2.09,1674201.0197,1333937.0292,5.51810387699e-05,4.086895409792461e-07
2026-07-31T23:45:00+00:00,1785541500000,2568691310.6664,2803088.6995,2.08,1794149.2562,1008939.4434,5.43140033886e-05,4.079851958970373e-07
2026-07-31T23:50:00+00:00,1785541800000,2567512546.5682,6972867.5259,2.08,8361837.6619,2694806.4376,5.39473665451e-05,4.228445117126357e-07
2026-07-31T23:55:00+00:00,1785542100000,2564512058.7458,11056644.0996,2.08,8361837.6619,2694806.4376,5.36926999982e-05,5.056774616989335e-07
2026-08-01T00:00:00+00:00,1785542400000,2564512058.7458,5110543.5084,2.08,6697943.1529,3376494.2682,5.34623644251e-05,5.398781418638079e-07
2026-08-01T00:05:00+00:00,1785542700000,2562189144.5884,10074437.421,2.07,1872676.4508,1307363.5059,5.27702982551e-05,5.17687481237507e-07
2026-08-01T00:10:00+00:00,1785543000000,2562453324.8602,3180039.9567,2.07,1872676.4508,1307363.5059,5.27533807379e-05,5.883347998103573e-07
2026-08-01T00:15:00+00:00,1785543300000,2562070893.6923,6516190.3351,2.07,3442706.1151,3073484.22,5.23680040169e-05,6.093655584695637e-07
2026-08-01T00:20:00+00:00,1785543600000,2561738413.3061,4835589.8435,2.07,1224164.5593,3611425.2842,5.28067314698e-05,3.662237204150259e-07
2026-08-01T00:25:00+00:00,1785543900000,2565235535.5123,8535964.6773,2.07,3970620.8556,3107551.6841,5.39087390064e-05,4.678139345303746e-07
2026-08-01T00:30:00+00:00,1785544200000,2566547757.1036,7078172.5398,2.07,3970620.8556,3107551.6841,5.46290669936e-05,5.148982992294891e-07
2026-08-01T00:35:00+00:00,1785544500000,2567920117.656,9245059.2234,2.08,1035838.3809,2964769.8764,5.44422316654e-05,5.718096841495605e-07
2026-08-01T00:40:00+00:00,1785544800000,2567769645.665,4000715.2868,2.08,1051026.724,1749897.4606,5.50389965273e-05,5.715576932560741e-07
2026-08-01T00:45:00+00:00,1785545100000,2568235801.152,2800924.1846,2.08,2835664.9061,22148120.1317,5.53350241941e-05,6.444383088391344e-07
2026-08-01T00:50:00+00:00,1785545400000,2566771133.4476,24983785.0377,2.08,2256876.0176,724562.88,5.57432394097e-05,6.29306516103491e-07
2026-08-01T00:55:00+00:00,1785545700000,2566352310.6811,2981438.8976,2.08,1714919.119,1051362.9739,5.61061542604e-05,5.617768803072822e-07
