time,open,high,low,close,tick_volume,spread,real_volume
1785625080,62774.32,62777.8,62767.71,62767.72,55,1000,0
1785625140,62767.73,62774.95,62763.67,62770.24,45,1000,0
1785625200,62770.22,62800.07,62762.27,62782.9,76,1000,0
1785625260,62783.72,62798.2,62783.66,62791.14,57,1000,0
1785625320,62792.4,62795.77,62778.63,62779.52,53,1000,0
1785625380,62780.87,62785.06,62778.63,62782.52,55,1000,0
1785625440,62782.69,62789.3,62775.01,62779.5,54,1000,0
1785625500,62778.85,62784.97,62777.38,62779.25,50,1000,0
1785625560,62779.25,62780.56,62765.02,62768.47,53,1000,0
1785625620,62770.86,62776.34,62767.89,62772.87,52,1000,0
1785625680,62771.78,62779.5,62768.52,62779.5,56,1000,0
1785625740,62777.82,62778.45,62767.1,62769.82,54,1000,0
1785625800,62773.37,62774.27,62767.05,62769.19,56,1000,0
1785625860,62767.56,62774.46,62750.69,62758.65,56,1000,0
1785625920,62754.26,62758.56,62738.6,62745.37,57,1000,0
1785625980,62745.41,62750.82,62736.37,62745.94,58,1000,0
1785626040,62745.7,62751.43,62743.48,62746.76,52,1000,0
1785626100,62746.06,62751.0,62742.34,62744.28,53,1000,0
1785626160,62743.29,62748.06,62716.9,62725.27,60,1000,0
1785626220,62725.18,62732.24,62715.98,62726.5,59,1000,0
1785626280,62725.89,62732.04,62719.79,62727.6,55,1000,0
1785626340,62727.57,62727.57,62709.84,62714.58,53,1000,0
1785626400,62711.43,62713.22,62698.64,62704.41,54,1000,0
1785626460,62705.18,62723.98,62700.95,62722.54,65,1000,0
1785626520,62722.49,62726.48,62713.52,62717.06,61,1000,0
1785626580,62718.07,62718.86,62710.32,62713.95,54,1000,0
1785626640,62714.99,62723.3,62712.99,62716.28,54,1000,0
1785626700,62716.05,62729.09,62716.05,62718.61,54,1000,0
1785626760,62718.7,62724.38,62705.78,62712.61,59,1000,0
1785626820,62710.71,62716.79,62709.35,62712.35,52,1000,0
1785626880,62712.03,62716.37,62709.1,62713.19,57,1000,0
1785626940,62710.91,62715.33,62702.47,62714.41,58,1000,0
1785627000,62711.84,62719.12,62707.5,62716.51,57,1000,0
1785627060,62717.07,62732.11,62715.42,62715.83,59,1000,0
1785627120,62715.81,62718.78,62708.64,62714.18,57,1000,0
1785627180,62714.17,62720.77,62713.38,62719.53,52,1000,0
1785627240,62717.54,62720.86,62713.12,62717.41,56,1000,0
1785627300,62716.3,62732.7,62715.05,62730.63,58,1000,0
1785627360,62729.09,62766.23,62726.55,62766.16,67,1000,0
1785627420,62766.52,62780.6,62762.85,62765.86,56,1000,0
1785627480,62765.01,62768.11,62749.54,62758.57,57,1000,0
1785627540,62756.1,62761.28,62754.19,62754.76,54,1000,0
1785627600,62754.77,62761.76,62754.77,62755.18,51,1000,0
1785627660,62755.19,62766.08,62737.46,62748.29,61,1000,0
1785627720,62747.59,62754.91,62744.49,62749.29,56,1000,0
