k,month,first_monday,cutoff_friday,t_in,t_out,pair,dir,policy_dir,rate_base_pct,rate_quote_pct,rate_differential,abs_differential,src_date_base,src_date_quote,age_base_days,age_quote_days,regime_base,regime_quote,atr,atr_last_session,gross_usd,notional_usd,stop_risk_usd,days_held,exit_reason,entry_bar_stop,entry_px,exit_px,stop_px,exit_bar_open_bid,exit_bar_spread_px,entry_graph_timestamp,exit_graph_timestamp,entry_graph_residual_rms,exit_graph_residual_rms,q2u_entry,q2u_exit,policy_credit_usd,swap_snapshot_usd,is_signal,signal_pair,signal_dir,signal_diff,financing_usd,credit_usd,net_usd,equity_after
13,2022-09,2022-09-05,2022-09-02,2022-09-06 00:00:00+00:00,2022-09-21 06:00:00+00:00,NZDJPYm,1,1,3.0,-0.1,3.1,3.1,2022-09-02,2022-09-02,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.8299499999999987,2022-09-02,-8.647230911020625,610.4487927853144,8.864919609437592,15.25,stop,False,85.72699999999999,84.482075,84.482075,82.657,0.029,2022-09-06 00:00:00+00:00,2022-09-21 06:00:00+00:00,2.2685016721550492e-05,6.305405661708953e-05,0.0071208463236239975,0.006945985429660952,0.7906566213404312,0.0,True,NZDJPYm,1,3.1,0.0,0.0,-8.647230911020625,931.8751356663851
14,2022-10,2022-10-03,2022-09-30,2022-10-04 00:00:00+00:00,2022-11-08 01:00:00+00:00,CADJPYm,1,1,3.25,-0.1,3.35,3.35,2022-09-29,2022-09-30,1.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.2477000000000011,2022-09-30,17.50744317674509,733.9538596346462,12.949501734598055,35.041666666666664,rebalance,False,106.076,108.641,104.20445,108.641,0.038,2022-10-04 00:00:00+00:00,2022-11-08 01:00:00+00:00,4.735268923774606e-05,1.5276385551482465e-05,0.0069191321282349085,0.006825513909062383,2.3605078840658336,0.0,True,CADJPYm,1,3.35,0.0,0.0,17.50744317674509,949.3825788431302
16,2022-12,2022-12-05,2022-12-02,2022-12-06 01:00:00+00:00,2022-12-20 03:00:00+00:00,NZDJPYm,1,1,4.25,-0.1,4.35,4.35,2022-12-02,2022-12-02,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.9922500000000021,2022-12-02,-10.85156241248673,633.5753242004068,10.903598001465948,14.083333333333334,stop,False,86.485,84.996625,84.996625,82.45,0.029,2022-12-06 01:00:00+00:00,2022-12-20 03:00:00+00:00,5.7052670621170285e-05,4.0635667515327165e-05,0.007325840598952499,0.007290879255890951,1.0634084465432172,0.0,True,NZDJPYm,1,4.35,0.0,0.0,-10.85156241248673,938.5310164306435
19,2023-03,2023-03-06,2023-03-03,2023-03-07 01:00:00+00:00,2023-03-09 19:00:00+00:00,NZDJPYm,1,1,4.75,-0.1,4.85,4.85,2023-03-03,2023-03-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.7441999999999979,2023-03-03,-8.204841713925084,619.4350548486065,8.20216539817206,2.75,stop,False,84.304,83.1877,83.1877,83.348,0.029,2023-03-07 01:00:00+00:00,2023-03-09 19:00:00+00:00,2.427898700597182e-05,2.9372599299968415e-05,0.007347635401032056,0.007350032888941251,0.22634835737104902,0.0,True,NZDJPYm,1,4.85,0.0,0.0,-8.204841713925084,930.3261747167184
21,2023-05,2023-05-01,2023-04-28,2023-05-02 00:00:00+00:00,2023-05-03 22:00:00+00:00,NZDJPYm,1,1,5.25,-0.1,5.35,5.35,2023-04-28,2023-04-28,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.8803500000000006,2023-04-28,-9.811409121738306,616.4137479835534,9.60131358657194,1.9166666666666667,stop,False,84.779,83.45847499999999,83.45847499999999,84.621,0.029,2023-05-02 00:00:00+00:00,2023-05-03 22:00:00+00:00,6.30243429512277e-05,0.00019200838386627676,0.007270830606442084,0.007429930612247614,0.17317285773830196,0.0,True,NZDJPYm,1,5.35,0.0,0.0,-9.811409121738306,920.5147655949801
22,2023-06,2023-06-05,2023-06-02,2023-06-06 00:00:00+00:00,2023-07-04 00:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-06-02,2023-06-02,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.898999999999998,2023-06-02,30.041204515746944,607.1543020008543,9.672150930279386,28.0,rebalance,False,84.64999999999999,88.994,83.30149999999999,88.994,0.043000000000000003,2023-06-06 00:00:00+00:00,2023-07-04 00:00:00+00:00,2.7375468782751324e-05,2.169708498909573e-05,0.007172525717671049,0.006915562733827553,2.608268343937916,0.0,True,NZDJPYm,1,5.6,0.0,0.0,30.041204515746944,950.555970110727
23,2023-07,2023-07-03,2023-06-30,2023-07-04 00:00:00+00:00,2023-07-10 13:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-06-30,2023-06-30,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.8544000000000018,2023-06-30,-8.998740219838199,615.7409591318038,8.862985199673412,6.541666666666667,stop,False,89.037,87.75540000000001,87.75540000000001,87.021,0.043000000000000003,2023-07-04 00:00:00+00:00,2023-07-10 13:00:00+00:00,2.169708498909573e-05,1.6180162061286812e-05,0.006915562733827553,0.007021488935579133,0.6179902411742945,0.0,True,NZDJPYm,1,5.6,0.0,0.0,-8.998740219838199,941.5572298908888
24,2023-08,2023-08-07,2023-08-04,2023-08-08 00:00:00+00:00,2023-09-05 00:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-08-04,2023-08-04,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.105899999999999,2023-08-04,-0.6346249888083102,610.7996890701125,11.637704036271654,28.0,rebalance,False,87.06400000000001,86.971,85.40515,86.971,0.043000000000000003,2023-08-08 00:00:00+00:00,2023-09-05 00:00:00+00:00,1.2311738134045398e-05,4.3825330770211684e-05,0.0070155252351156916,0.006823924610841786,2.6239285272929767,0.0,True,NZDJPYm,1,5.6,0.0,0.0,-0.6346249888083102,940.9226049020805
25,2023-09,2023-09-04,2023-09-01,2023-09-05 00:00:00+00:00,2023-10-03 00:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-09-01,2023-09-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.6720499999999987,2023-09-01,13.298561945522076,593.7769760877873,6.8790278020743205,28.0,rebalance,False,87.01400000000001,89.007,86.00592500000002,89.007,0.043000000000000003,2023-09-05 00:00:00+00:00,2023-10-03 00:00:00+00:00,4.3825330770211684e-05,1.933219128217581e-05,0.006823924610841786,0.006672635195946869,2.550800817823699,0.0,True,NZDJPYm,1,5.6,0.0,0.0,13.298561945522076,954.2211668476026
26,2023-10,2023-10-02,2023-09-29,2023-10-03 00:00:00+00:00,2023-10-03 14:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-09-29,2023-09-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.6933500000000009,2023-09-29,-6.938247264762792,594.1981641990687,6.93970741966465,0.5833333333333334,stop,False,89.05000000000001,88.00997500000001,88.00997500000001,89.326,0.043000000000000003,2023-10-03 00:00:00+00:00,2023-10-03 14:00:00+00:00,1.933219128217581e-05,2.2580969133528118e-05,0.006672635195946869,0.006671231234598006,0.0531793790790034,0.0,True,NZDJPYm,1,5.6,0.0,0.0,-6.938247264762792,947.2829195828398
27,2023-11,2023-11-06,2023-11-03,2023-11-07 01:00:00+00:00,2023-12-05 01:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-11-03,2023-11-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.8002499999999998,2023-11-03,8.991578525509288,595.6679491465978,8.000815880863021,28.0,rebalance,False,89.369,90.691,88.168625,90.691,0.043000000000000003,2023-11-07 01:00:00+00:00,2023-12-05 01:00:00+00:00,2.172206772551153e-05,3.6429561854561526e-05,0.006665263672488199,0.006801496615362533,2.5589242308544256,0.0,True,NZDJPYm,1,5.6,0.0,0.0,8.991578525509288,956.2744981083491
28,2023-12,2023-12-04,2023-12-01,2023-12-05 01:00:00+00:00,2023-12-07 06:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-12-01,2023-12-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.7486000000000026,2023-12-01,-7.662409208211276,617.1269938983041,7.637400549390617,2.2083333333333335,stop,False,90.73400000000001,89.61110000000001,89.61110000000001,88.97,0.29,2023-12-05 01:00:00+00:00,2023-12-07 06:00:00+00:00,3.6429561854561526e-05,1.568794235435463e-05,0.006801496615362533,0.006823768107766736,0.20909051574088658,0.0,True,NZDJPYm,1,5.6,0.0,0.0,-7.662409208211276,948.6120889001378
29,2024-01,2024-01-01,2023-12-29,2024-01-02 01:00:00+00:00,2024-02-06 01:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2023-12-29,2023-12-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,1.015250000000001,2023-12-29,4.710882300501768,632.4378273731236,10.790093618203525,35.0,rebalance,False,89.26,89.96,87.737125,89.96,0.043000000000000003,2024-01-02 01:00:00+00:00,2024-02-06 01:00:00+00:00,0.00014610864505336184,1.3053788512542692e-05,0.0070853442457217515,0.0067298318578597775,3.396104497674856,0.0,True,NZDJPYm,1,5.6,0.0,0.0,4.710882300501768,953.3229712006396
30,2024-02,2024-02-05,2024-02-02,2024-02-06 01:00:00+00:00,2024-03-05 01:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2024-02-02,2024-02-02,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.5942500000000003,2024-02-02,10.817770671972404,605.7050567029536,5.998803872299762,28.0,rebalance,False,90.003,91.63,89.111625,91.63,0.043000000000000003,2024-02-06 01:00:00+00:00,2024-03-05 01:00:00+00:00,1.3053788512542692e-05,1.8336538837214914e-05,0.0067298318578597775,0.006648906374906229,2.6020425449595375,0.0,True,NZDJPYm,1,5.6,0.0,0.0,10.817770671972404,964.140741872612
31,2024-03,2024-03-04,2024-03-01,2024-03-05 01:00:00+00:00,2024-03-10 21:00:00+00:00,NZDJPYm,1,1,5.5,-0.1,5.6,5.6,2024-03-01,2024-03-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),Short-term policy rate -0.1% with YCC,0.6517499999999984,2024-03-01,-7.341416323226105,609.5251941067787,6.500137094767686,5.833333333333333,stop,False,91.673,90.594,90.695375,90.204,0.043000000000000003,2024-03-05 01:00:00+00:00,2024-03-10 21:00:00+00:00,1.8336538837214914e-05,0.0007568598649042284,0.006648906374906229,0.006803907621154822,0.5455111326252449,0.0,True,NZDJPYm,1,5.6,0.0,0.0,-7.341416323226105,956.7993255493859
32,2024-04,2024-04-01,2024-03-29,2024-04-02 00:00:00+00:00,2024-05-07 00:00:00+00:00,NZDJPYm,1,1,5.5,0.05,5.45,5.45,2024-03-29,2024-03-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0 to 0.1%,0.5877999999999979,2024-03-29,15.669886059731526,595.2981133815587,5.815975562273742,35.0,rebalance,False,90.247,92.664,89.3653,92.664,0.043000000000000003,2024-04-02 00:00:00+00:00,2024-05-07 00:00:00+00:00,2.2672209848103042e-05,1.290789061831564e-05,0.006596320247560125,0.0064831965493303756,3.1110442500693782,0.0,True,NZDJPYm,1,5.45,0.0,0.0,15.669886059731526,972.4692116091175
33,2024-05,2024-05-06,2024-05-03,2024-05-07 00:00:00+00:00,2024-06-04 00:00:00+00:00,NZDJPYm,1,1,5.5,0.05,5.45,5.45,2024-05-03,2024-05-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0 to 0.1%,1.1275499999999994,2024-05-03,25.170278583362045,601.0377024987712,10.965192403796191,28.0,rebalance,False,92.70700000000001,96.636,91.01567500000002,96.636,0.043000000000000003,2024-05-07 00:00:00+00:00,2024-06-04 00:00:00+00:00,1.290789061831564e-05,1.3440654481716025e-05,0.0064831965493303756,0.006406281136004613,2.5128316000359585,0.0,True,NZDJPYm,1,5.45,0.0,0.0,25.170278583362045,997.6394901924795
34,2024-06,2024-06-03,2024-05-31,2024-06-04 00:00:00+00:00,2024-06-04 09:00:00+00:00,NZDJPYm,1,1,5.5,0.05,5.45,5.45,2024-05-31,2024-05-31,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0 to 0.1%,0.6788999999999994,2024-05-31,-6.5571517929039205,619.35285394779,6.523836394850291,0.375,stop,False,96.679,95.66065,95.66065,97.923,0.043000000000000003,2024-06-04 00:00:00+00:00,2024-06-04 09:00:00+00:00,1.3440654481716025e-05,1.4167578929941692e-05,0.006406281136004613,0.006438996212406277,0.034679517678240984,0.0,True,NZDJPYm,1,5.45,0.0,0.0,-6.5571517929039205,991.0823383995755
35,2024-07,2024-07-01,2024-06-28,2024-07-02 00:00:00+00:00,2024-07-11 13:00:00+00:00,NZDJPYm,1,1,5.5,0.05,5.45,5.45,2024-06-28,2024-06-28,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0 to 0.1%,0.6974499999999992,2024-06-28,-6.594129678025614,606.5433157373708,6.477251835754683,9.541666666666666,stop,False,97.96600000000001,96.919825,96.919825,86.732,0.043000000000000003,2024-07-02 00:00:00+00:00,2024-07-11 13:00:00+00:00,3.423898321885075e-05,4.4358376653814655e-05,0.006191365532300704,0.006303084740149192,0.8641511246644128,0.0,True,NZDJPYm,1,5.45,0.0,0.0,-6.594129678025614,984.4882087215499
36,2024-08,2024-08-05,2024-08-02,2024-08-06 00:00:00+00:00,2024-09-03 00:00:00+00:00,NZDJPYm,1,1,5.5,0.25,5.25,5.25,2024-08-02,2024-08-02,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0.25%,1.1833500000000015,2024-08-02,31.542880268131363,595.1239631122542,12.173551283472547,28.0,rebalance,False,86.775,91.404,84.999975,91.404,0.04,2024-08-06 00:00:00+00:00,2024-09-03 00:00:00+00:00,4.6048672971473195e-05,3.133596194645521e-05,0.006858242156292183,0.006814188867602382,2.3968006185616813,0.0,True,NZDJPYm,1,5.25,0.0,0.0,31.542880268131363,1016.0310889896813
38,2024-10,2024-10-07,2024-10-04,2024-10-08 00:00:00+00:00,2024-11-05 01:00:00+00:00,NZDJPYm,1,1,5.25,0.25,5.0,5.0,2024-10-04,2024-10-04,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0.25%,1.2125000000000015,2024-10-04,0.6435382304997833,612.9627353209046,12.277683889658666,28.041666666666668,rebalance,False,90.801,90.899,88.98225,90.899,0.043000000000000003,2024-10-08 00:00:00+00:00,2024-11-05 01:00:00+00:00,2.014096710945733e-05,3.540827262943976e-05,0.0067506165716336225,0.00656671663775296,2.354588589446169,0.0,True,NZDJPYm,1,5.0,0.0,0.0,0.6435382304997833,1016.674627220181
39,2024-11,2024-11-04,2024-11-01,2024-11-05 01:00:00+00:00,2024-11-27 16:00:00+00:00,USDJPYm,1,1,4.875,0.25,4.625,4.625,2024-11-01,2024-11-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),UOCR around 0.25%,1.2176000000000002,2024-11-01,-12.086685355777279,1000.0255766134849,11.99345126719201,22.625,stop,False,152.28699999999998,150.46059999999997,150.46059999999997,149.864,0.009000000000000001,2024-11-05 01:00:00+00:00,2024-11-27 16:00:00+00:00,3.540827262943976e-05,1.2961281471237016e-05,0.00656671663775296,0.006617764649461911,2.866939763090971,0.0,True,USDJPYm,1,4.625,0.0,0.0,-12.086685355777279,1004.5879418644038
41,2025-01,2025-01-06,2025-01-03,2025-01-07 01:00:00+00:00,2025-01-09 06:00:00+00:00,GBPCHFm,1,1,4.75,0.5,4.25,4.25,2025-01-03,2025-01-03,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.007218000000000002,2025-01-03,-11.888203957590482,1251.4328825736413,11.95896116403186,2.2083333333333335,stop,False,1.13298,1.1221530000000002,1.1221530000000002,1.13297,0.00024000000000000003,2025-01-07 01:00:00+00:00,2025-01-09 06:00:00+00:00,4.719987605181162e-05,2.5344166262688228e-05,1.1045498442811357,1.098014589229756,0.3217868228307223,0.0,True,GBPCHFm,1,4.25,0.0,0.0,-11.888203957590482,992.6997379068133
42,2025-02,2025-02-03,2025-01-31,2025-02-04 01:00:00+00:00,2025-02-06 12:00:00+00:00,GBPCHFm,1,1,4.75,0.5,4.25,4.25,2025-01-31,2025-01-31,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.007510999999999979,2025-01-31,-12.449274377022066,1242.523685559916,12.353308833632559,2.4583333333333335,stop,False,1.13321,1.1219435,1.1219435,1.13818,0.00024000000000000003,2025-02-04 01:00:00+00:00,2025-02-06 12:00:00+00:00,3.318025736120673e-05,0.00010555299996078523,1.0964637494903116,1.1049815272730652,0.3556653129613572,0.0,True,GBPCHFm,1,4.25,0.0,0.0,-12.449274377022066,980.2504635297912
43,2025-03,2025-03-03,2025-02-28,2025-03-04 01:00:00+00:00,2025-04-03 13:00:00+00:00,GBPCHFm,1,1,4.5,0.5,4.0,4.0,2025-02-28,2025-02-28,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.007002499999999956,2025-02-28,-12.223696380983304,1270.1875734426183,11.71951715935052,30.5,stop,False,1.13842,1.12791625,1.12791625,1.09462,0.00024000000000000003,2025-03-04 01:00:00+00:00,2025-04-03 13:00:00+00:00,5.790571579813968e-05,3.559208325967484e-05,1.1157460106486343,1.1637459365448781,4.245558464657519,0.0,True,GBPCHFm,1,4.0,0.0,0.0,-12.223696380983304,968.026767148808
47,2025-07,2025-07-07,2025-07-04,2025-07-08 00:00:00+00:00,2025-08-05 00:00:00+00:00,USDCHFm,1,1,4.375,0.0,4.375,4.375,2025-07-04,2025-07-04,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.0060335000000000085,2025-07-04,12.141979344631459,1000.0592940636635,11.352649924865393,28.0,rebalance,False,0.7972400000000001,0.80704,0.78818975,0.80704,0.00012000000000000002,2025-07-08 00:00:00+00:00,2025-08-05 00:00:00+00:00,1.5862303528901633e-05,1.814327107099575e-05,1.2544018038026987,1.2389774841460772,3.356363384186268,0.0,True,USDCHFm,1,4.375,0.0,0.0,12.141979344631459,980.1687464934394
48,2025-08,2025-08-04,2025-08-01,2025-08-05 00:00:00+00:00,2025-09-02 00:00:00+00:00,USDCHFm,1,1,4.375,0.0,4.375,4.375,2025-08-01,2025-08-01,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.006314000000000003,2025-08-01,-8.684641208813538,1000.0530661033476,11.734355752347502,28.0,rebalance,False,0.80716,0.80021,0.797689,0.80021,0.00013000000000000002,2025-08-05 00:00:00+00:00,2025-09-02 00:00:00+00:00,1.814327107099575e-05,2.4793204604007813e-05,1.2389774841460772,1.2495886631386364,3.356342482127674,0.0,True,USDCHFm,1,4.375,0.0,0.0,-8.684641208813538,971.4841052846258
49,2025-09,2025-09-01,2025-08-29,2025-09-02 00:00:00+00:00,2025-09-09 00:00:00+00:00,USDCHFm,1,1,4.375,0.0,4.375,4.375,2025-08-29,2025-08-29,0.0,0.0,BIS main policy rate (no post-2010 definition break recorded),SNB policy rate,0.005439500000000014,2025-08-29,-10.290723017657124,1000.0957906563763,10.195706299713946,7.0,stop,False,0.8003399999999999,0.7921807499999999,0.7921807499999999,0.79494,0.00013000000000000002,2025-09-02 00:00:00+00:00,2025-09-09 00:00:00+00:00,2.4793204604007813e-05,2.450165260936788e-05,1.2495886631386364,1.2612339391067862,0.8391214681877128,0.0,True,USDCHFm,1,4.375,0.0,0.0,-10.290723017657124,961.1933822669687
